Wavelength (nm),Intensity (a.u.),
220,2.257133007,
220.9299927,2.257964373,
222.0299988,2.261280775,
222.9600067,2.264343023,
224.0599976,2.267907381,
225,2.27387023,
225.9299927,2.280822754,
227.0299988,2.28729105,
227.9600067,2.293548107,
229.0599976,2.300107718,
230,2.307802916,
230.9299927,2.315518141,
232.0299988,2.322497845,
232.9600067,2.329223156,
234.0599976,2.336050034,
235,2.342805386,
235.9299927,2.35073781,
237.0299988,2.356897831,
237.9600067,2.360691786,
239.0599976,2.36235261,
240,2.362784386,
240.9299927,2.363405943,
242.0299988,2.365180969,
242.9600067,2.369144201,
244.0599976,2.375665903,
245,2.383251905,
245.9299927,2.389220476,
247.0299988,2.395992756,
247.9600067,2.402497768,
249.0599976,2.408053398,
250,2.412944078,
250.9299927,2.413439274,
252.0299988,2.412825823,
252.9600067,2.412022591,
254.0599976,2.413197517,
255,2.416657448,
255.9299927,2.422786951,
257.0299988,2.427179337,
257.9599915,2.430893183,
259.0599976,2.434819937,
260,2.439310074,
260.9299927,2.443040848,
262.0299988,2.445401669,
262.9599915,2.446935892,
264.0599976,2.444993019,
265,2.440217733,
265.9299927,2.433817625,
267.0299988,2.427925825,
267.9599915,2.418186426,
269.0599976,2.406160831,
270,2.393434525,
271.0700073,2.377057314,
272,2.360049248,
273.0700073,2.342868328,
274,2.325910091,
275.0700073,2.311001778,
276,2.297314882,
277.0700073,2.284381151,
278,2.274503231,
279.0700073,2.267737389,
280,2.263750315,
280.9299927,2.260807037,
282.0299988,2.259344339,
282.9599915,2.258560419,
284.0599976,2.256841183,
285,2.256102085,
285.9299927,2.25652194,
287.0299988,2.254929543,
287.9599915,2.251621962,
289.0599976,2.246312857,
290,2.240310907,
290.9299927,2.230885983,
292.0299988,2.220887661,
292.9599915,2.211067438,
294.0599976,2.202743053,
295,2.196902275,
295.9299927,2.194760561,
297.0299988,2.196527004,
297.9599915,2.201093435,
299.0599976,2.207677841,
300,2.215962648,
301.0700073,2.223912239,
302,2.232538462,
303.0700073,2.239455938,
304,2.24604249,
305.0700073,2.250158548,
306,2.250843525,
307.0700073,2.247085333,
308,2.24124527,
309.0700073,2.233267069,
310,2.2245996,
310.9299927,2.214570284,
312.0299988,2.204692841,
312.9599915,2.19278121,
314.0599976,2.179831743,
315,2.165430784,
315.9299927,2.149731636,
317.0299988,2.132215261,
317.9599915,2.113377094,
319.0599976,2.094162226,
320,2.075506687,
321.0700073,2.058177471,
322,2.043028116,
323.0700073,2.028850794,
324,2.016415834,
325.0700073,2.00217104,
326,1.988764763,
327.0700073,1.97594142,
328,1.965800047,
329.0700073,1.957852125,
330,1.952500343,
331.0700073,1.949509144,
332,1.947983146,
333.0700073,1.946592569,
334,1.946179867,
335.0700073,1.944679737,
336,1.941998124,
337.0700073,1.939209342,
338,1.936819315,
339.0700073,1.935906887,
340,1.935930133,
341.0700073,1.93810308,
342,1.940617561,
343.0700073,1.94363296,
344,1.947621465,
345.0700073,1.950732112,
346,1.954557419,
347.0700073,1.957747817,
348,1.961807013,
349.0700073,1.965372562,
350,1.969041705,
351.0700073,1.971855283,
352,1.972872496,
353.0700073,1.971839428,
354,1.968881369,
355.0700073,1.962998986,
356,1.95829463,
357.0700073,1.955425262,
358,1.95534122,
359.0700073,1.958998442,
360,1.966815114,
361.0700073,1.97772038,
362,1.990863442,
363.0700073,2.005684137,
364,2.023597956,
365.0700073,2.041243076,
366,2.057281256,
367.0700073,2.071112633,
368,2.081290007,
369.0700073,2.087417364,
370,2.089583635,
371.0700073,2.087922096,
372,2.084378958,
373.0700073,2.079429626,
374,2.073148012,
375.0700073,2.067429781,
376,2.063816547,
377.0700073,2.060679913,
378,2.059004545,
379.0700073,2.058434486,
380,2.059055328,
381.0700073,2.060518265,
382,2.062351227,
383.0700073,2.064412594,
384,2.06703639,
385.0700073,2.068040609,
386,2.067471027,
387.0700073,2.06628108,
388,2.064603806,
389.0700073,2.064460039,
390,2.066682816,
391.0700073,2.071201801,
392,2.078749895,
393.0700073,2.087870121,
394,2.096947193,
395.0700073,2.106661797,
396,2.114834547,
397.0700073,2.122575283,
398,2.12971282,
399.0700073,2.13663435,
400,2.142872572,
401.0599976,2.148106337,
401.9599915,2.15131855,
403.0299988,2.152909994,
403.9299927,2.154335022,
405,2.155119419,
406.0599976,2.156214237,
406.9599915,2.158232689,
408.0299988,2.160354853,
408.9299927,2.162889004,
410,2.164799213,
411.0700073,2.165560246,
412,2.165005445,
413.0700073,2.162992954,
414,2.158260584,
415.0700073,2.151959658,
416,2.143900633,
417.0700073,2.13608861,
418,2.128462553,
419.0700073,2.122302055,
420,2.117273808,
421.0599976,2.112981796,
421.9599915,2.109539509,
423.0299988,2.106853485,
423.9299927,2.105775356,
425,2.104517221,
426.0599976,2.103956699,
426.9599915,2.10368371,
428.0299988,2.10274601,
428.9299927,2.100713491,
430,2.096686363,
431.0700073,2.090173006,
432,2.081379414,
