"death_valley_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.106
191.00,3.455
192.00,3.677
193.00,3.729
194.00,3.814
195.00,3.483
196.00,3.815
197.00,3.927
198.00,3.931
199.00,3.728
200.00,3.660
201.00,3.986
202.00,3.917
203.00,3.910
204.00,3.922
205.00,3.960
206.00,3.947
207.00,3.884
208.00,3.933
209.00,3.741
210.00,3.822
211.00,3.705
212.00,3.648
213.00,3.545
214.00,3.442
215.00,3.253
216.00,3.164
217.00,3.027
218.00,2.893
219.00,2.747
220.00,2.605
221.00,2.477
222.00,2.354
223.00,2.231
224.00,2.106
225.00,1.987
226.00,1.864
227.00,1.743
228.00,1.624
229.00,1.516
230.00,1.414
231.00,1.322
232.00,1.242
233.00,1.171
234.00,1.112
235.00,1.061
236.00,1.019
237.00,0.985
238.00,0.957
239.00,0.935
240.00,0.918
241.00,0.906
242.00,0.899
243.00,0.894
244.00,0.893
245.00,0.893
246.00,0.896
247.00,0.899
248.00,0.904
249.00,0.910
250.00,0.917
251.00,0.924
252.00,0.932
253.00,0.940
254.00,0.947
255.00,0.955
256.00,0.962
257.00,0.969
258.00,0.974
259.00,0.978
260.00,0.981
261.00,0.983
262.00,0.985
263.00,0.987
264.00,0.988
265.00,0.987
266.00,0.986
267.00,0.984
268.00,0.980
269.00,0.975
270.00,0.967
271.00,0.957
272.00,0.947
273.00,0.934
274.00,0.919
275.00,0.904
276.00,0.887
277.00,0.870
278.00,0.850
279.00,0.831
280.00,0.811
281.00,0.790
282.00,0.768
283.00,0.744
284.00,0.719
285.00,0.693
286.00,0.670
287.00,0.648
288.00,0.626
289.00,0.604
290.00,0.580
291.00,0.557
292.00,0.537
293.00,0.520
294.00,0.505
295.00,0.491
296.00,0.480
297.00,0.470
298.00,0.460
299.00,0.452
300.00,0.444
301.00,0.437
302.00,0.431
303.00,0.425
304.00,0.419
305.00,0.414
306.00,0.408
307.00,0.403
308.00,0.398
309.00,0.394
310.00,0.389
311.00,0.385
312.00,0.380
313.00,0.376
314.00,0.372
315.00,0.368
316.00,0.364
317.00,0.360
318.00,0.356
319.00,0.352
320.00,0.347
321.00,0.342
322.00,0.338
323.00,0.333
324.00,0.328
325.00,0.323
326.00,0.317
327.00,0.312
328.00,0.307
329.00,0.301
330.00,0.295
331.00,0.289
332.00,0.284
333.00,0.278
334.00,0.272
335.00,0.266
336.00,0.261
337.00,0.255
338.00,0.249
339.00,0.244
340.00,0.238
341.00,0.232
342.00,0.226
343.00,0.220
344.00,0.215
345.00,0.210
346.00,0.205
347.00,0.200
348.00,0.195
349.00,0.190
350.00,0.186
351.00,0.182
352.00,0.177
353.00,0.174
354.00,0.170
355.00,0.166
356.00,0.162
357.00,0.159
358.00,0.155
359.00,0.152
360.00,0.149
361.00,0.146
362.00,0.143
363.00,0.140
364.00,0.137
365.00,0.135
366.00,0.132
367.00,0.130
368.00,0.128
369.00,0.126
370.00,0.124
371.00,0.121
372.00,0.119
373.00,0.117
374.00,0.115
375.00,0.113
376.00,0.111
377.00,0.110
378.00,0.108
379.00,0.106
380.00,0.104
381.00,0.103
382.00,0.101
383.00,0.100
384.00,0.098
385.00,0.097
386.00,0.095
387.00,0.094
388.00,0.093
389.00,0.092
390.00,0.090
391.00,0.089
392.00,0.088
393.00,0.087
394.00,0.086
395.00,0.085
396.00,0.084
397.00,0.083
398.00,0.082
399.00,0.081
400.00,0.080
401.00,0.079
402.00,0.079
403.00,0.078
404.00,0.077
405.00,0.077
406.00,0.076
407.00,0.075
408.00,0.074
409.00,0.074
410.00,0.073
411.00,0.073
412.00,0.072
413.00,0.072
414.00,0.071
415.00,0.071
416.00,0.070
417.00,0.070
418.00,0.070
419.00,0.069
420.00,0.069
421.00,0.068
422.00,0.068
423.00,0.068
424.00,0.067
425.00,0.067
426.00,0.066
427.00,0.066
428.00,0.066
429.00,0.065
430.00,0.065
431.00,0.065
432.00,0.065
433.00,0.064
434.00,0.064
435.00,0.064
436.00,0.063
437.00,0.063
438.00,0.063
439.00,0.063
440.00,0.062
441.00,0.062
