"St-Viateur100x - RawData"
"Wavelength nm.","Abs."
190.00,3.737
191.00,3.662
192.00,3.497
193.00,3.416
194.00,3.625
195.00,3.735
196.00,3.570
197.00,3.611
198.00,3.618
199.00,3.422
200.00,3.385
201.00,3.151
202.00,3.081
203.00,2.986
204.00,2.851
205.00,2.727
206.00,2.637
207.00,2.551
208.00,2.457
209.00,2.362
210.00,2.282
211.00,2.209
212.00,2.133
213.00,2.054
214.00,1.985
215.00,1.924
216.00,1.858
217.00,1.796
218.00,1.733
219.00,1.674
220.00,1.617
221.00,1.563
222.00,1.512
223.00,1.461
224.00,1.411
225.00,1.363
226.00,1.313
227.00,1.263
228.00,1.213
229.00,1.167
230.00,1.122
231.00,1.080
232.00,1.042
233.00,1.006
234.00,0.975
235.00,0.946
236.00,0.921
237.00,0.898
238.00,0.878
239.00,0.859
240.00,0.844
241.00,0.830
242.00,0.820
243.00,0.814
244.00,0.808
245.00,0.805
246.00,0.803
247.00,0.802
248.00,0.802
249.00,0.803
250.00,0.805
251.00,0.808
252.00,0.810
253.00,0.814
254.00,0.818
255.00,0.821
256.00,0.825
257.00,0.829
258.00,0.831
259.00,0.833
260.00,0.835
261.00,0.837
262.00,0.839
263.00,0.841
264.00,0.843
265.00,0.845
266.00,0.846
267.00,0.847
268.00,0.847
269.00,0.846
270.00,0.844
271.00,0.842
272.00,0.838
273.00,0.835
274.00,0.830
275.00,0.825
276.00,0.818
277.00,0.811
278.00,0.802
279.00,0.793
280.00,0.783
281.00,0.773
282.00,0.762
283.00,0.749
284.00,0.737
285.00,0.723
286.00,0.709
287.00,0.694
288.00,0.679
289.00,0.664
290.00,0.647
291.00,0.630
292.00,0.615
293.00,0.600
294.00,0.587
295.00,0.574
296.00,0.562
297.00,0.551
298.00,0.540
299.00,0.530
300.00,0.520
301.00,0.510
302.00,0.501
303.00,0.492
304.00,0.484
305.00,0.476
306.00,0.469
307.00,0.461
308.00,0.455
309.00,0.448
310.00,0.442
311.00,0.437
312.00,0.432
313.00,0.427
314.00,0.422
315.00,0.417
316.00,0.413
317.00,0.408
318.00,0.404
319.00,0.400
320.00,0.395
321.00,0.391
322.00,0.386
323.00,0.383
324.00,0.378
325.00,0.374
326.00,0.369
327.00,0.365
328.00,0.361
329.00,0.356
330.00,0.351
331.00,0.347
332.00,0.342
333.00,0.337
334.00,0.333
335.00,0.328
336.00,0.324
337.00,0.320
338.00,0.315
339.00,0.311
340.00,0.307
341.00,0.301
342.00,0.297
343.00,0.293
344.00,0.289
345.00,0.286
346.00,0.282
347.00,0.278
348.00,0.274
349.00,0.270
350.00,0.266
351.00,0.263
352.00,0.259
353.00,0.256
354.00,0.253
355.00,0.249
356.00,0.246
357.00,0.243
358.00,0.240
359.00,0.237
360.00,0.234
361.00,0.231
362.00,0.228
363.00,0.225
364.00,0.223
365.00,0.221
366.00,0.218
367.00,0.216
368.00,0.213
369.00,0.211
370.00,0.208
371.00,0.206
372.00,0.204
373.00,0.201
374.00,0.199
375.00,0.197
376.00,0.195
377.00,0.192
378.00,0.190
379.00,0.188
380.00,0.186
381.00,0.184
382.00,0.182
383.00,0.180
384.00,0.178
385.00,0.177
386.00,0.175
387.00,0.173
388.00,0.171
389.00,0.170
390.00,0.168
391.00,0.166
392.00,0.164
393.00,0.163
394.00,0.161
395.00,0.160
396.00,0.158
397.00,0.157
398.00,0.155
399.00,0.154
400.00,0.152
401.00,0.151
402.00,0.150
403.00,0.148
404.00,0.147
405.00,0.146
406.00,0.144
407.00,0.143
408.00,0.142
409.00,0.140
410.00,0.139
411.00,0.138
412.00,0.137
413.00,0.136
414.00,0.134
415.00,0.133
416.00,0.132
417.00,0.131
418.00,0.130
419.00,0.129
420.00,0.128
421.00,0.127
422.00,0.126
423.00,0.125
424.00,0.124
425.00,0.123
426.00,0.122
427.00,0.121
428.00,0.120
429.00,0.119
430.00,0.118
431.00,0.117
432.00,0.116
433.00,0.115
434.00,0.114
435.00,0.113
436.00,0.112
437.00,0.111
438.00,0.110
439.00,0.109
440.00,0.109
441.00,0.108
442.00,0.107
443.00,0.106
444.00,0.105
445.00,0.104
446.00,0.104
447.00,0.103
448.00,0.102
449.00,0.102
450.00,0.101
451.00,0.100
452.00,0.099
453.00,0.099
454.00,0.098
455.00,0.097
456.00,0.096
457.00,0.096
458.00,0.095
459.00,0.094
460.00,0.094
461.00,0.093
462.00,0.092
463.00,0.092
464.00,0.091
465.00,0.090
466.00,0.090
467.00,0.089
468.00,0.089
469.00,0.088
470.00,0.087
471.00,0.087
472.00,0.086
473.00,0.086
474.00,0.085
475.00,0.085
476.00,0.084
477.00,0.083
478.00,0.083
479.00,0.082
480.00,0.082
481.00,0.081
482.00,0.081
483.00,0.080
484.00,0.080
485.00,0.079
486.00,0.079
487.00,0.078
488.00,0.078
489.00,0.077
490.00,0.077
491.00,0.076
492.00,0.076
493.00,0.075
494.00,0.075
495.00,0.074
496.00,0.074
497.00,0.073
498.00,0.073
499.00,0.073
500.00,0.072
501.00,0.072
502.00,0.071
503.00,0.071
504.00,0.071
505.00,0.070
506.00,0.070
507.00,0.069
508.00,0.069
509.00,0.069
510.00,0.068
511.00,0.068
512.00,0.068
513.00,0.067
514.00,0.067
515.00,0.066
516.00,0.066
517.00,0.066
518.00,0.066
519.00,0.065
520.00,0.065
521.00,0.065
522.00,0.064
523.00,0.064
524.00,0.063
525.00,0.063
526.00,0.063
527.00,0.063
528.00,0.062
529.00,0.062
530.00,0.062
531.00,0.061
532.00,0.061
533.00,0.061
534.00,0.060
535.00,0.060
536.00,0.060
537.00,0.060
538.00,0.059
539.00,0.059
540.00,0.059
541.00,0.059
542.00,0.058
543.00,0.058
544.00,0.058
545.00,0.058
546.00,0.057
547.00,0.057
548.00,0.057
549.00,0.057
550.00,0.056
551.00,0.056
552.00,0.056
553.00,0.056
554.00,0.055
555.00,0.055
556.00,0.055
557.00,0.055
558.00,0.055
559.00,0.054
560.00,0.054
561.00,0.054
562.00,0.054
563.00,0.054
564.00,0.053
565.00,0.053
566.00,0.053
567.00,0.053
568.00,0.053
569.00,0.052
570.00,0.052
571.00,0.052
572.00,0.052
573.00,0.052
574.00,0.052
575.00,0.051
576.00,0.051
577.00,0.051
578.00,0.051
579.00,0.051
580.00,0.051
581.00,0.050
582.00,0.050
583.00,0.050
584.00,0.050
585.00,0.050
586.00,0.050
587.00,0.050
588.00,0.049
589.00,0.049
590.00,0.049
591.00,0.049
592.00,0.049
593.00,0.049
594.00,0.049
595.00,0.048
596.00,0.048
597.00,0.048
598.00,0.048
599.00,0.048
