"Penombre100x - RawData"
"Wavelength nm.","Abs."
190.00,3.474
191.00,3.107
192.00,3.490
193.00,3.334
194.00,3.724
195.00,3.749
196.00,3.437
197.00,3.503
198.00,3.461
199.00,3.333
200.00,3.754
201.00,3.474
202.00,3.143
203.00,3.098
204.00,2.946
205.00,2.805
206.00,2.694
207.00,2.572
208.00,2.448
209.00,2.337
210.00,2.246
211.00,2.154
212.00,2.063
213.00,1.976
214.00,1.890
215.00,1.812
216.00,1.735
217.00,1.662
218.00,1.590
219.00,1.521
220.00,1.455
221.00,1.395
222.00,1.336
223.00,1.278
224.00,1.221
225.00,1.166
226.00,1.110
227.00,1.054
228.00,1.000
229.00,0.951
230.00,0.904
231.00,0.863
232.00,0.825
233.00,0.791
234.00,0.762
235.00,0.736
236.00,0.713
237.00,0.694
238.00,0.677
239.00,0.663
240.00,0.652
241.00,0.642
242.00,0.635
243.00,0.630
244.00,0.626
245.00,0.623
246.00,0.622
247.00,0.621
248.00,0.621
249.00,0.621
250.00,0.622
251.00,0.624
252.00,0.627
253.00,0.629
254.00,0.631
255.00,0.634
256.00,0.636
257.00,0.637
258.00,0.638
259.00,0.639
260.00,0.639
261.00,0.639
262.00,0.640
263.00,0.640
264.00,0.640
265.00,0.640
266.00,0.640
267.00,0.640
268.00,0.639
269.00,0.637
270.00,0.634
271.00,0.631
272.00,0.626
273.00,0.621
274.00,0.615
275.00,0.608
276.00,0.602
277.00,0.594
278.00,0.585
279.00,0.576
280.00,0.566
281.00,0.556
282.00,0.545
283.00,0.532
284.00,0.519
285.00,0.506
286.00,0.493
287.00,0.480
288.00,0.467
289.00,0.453
290.00,0.438
291.00,0.424
292.00,0.412
293.00,0.400
294.00,0.391
295.00,0.381
296.00,0.373
297.00,0.366
298.00,0.359
299.00,0.353
300.00,0.347
301.00,0.341
302.00,0.336
303.00,0.331
304.00,0.327
305.00,0.323
306.00,0.319
307.00,0.315
308.00,0.311
309.00,0.308
310.00,0.305
311.00,0.301
312.00,0.299
313.00,0.296
314.00,0.293
315.00,0.290
316.00,0.287
