"File_170130_163310 - RawData"
"Wavelength nm.","Abs."
190.00,3.552
191.00,3.334
192.00,3.190
193.00,3.234
194.00,3.496
195.00,3.335
196.00,3.522
197.00,3.499
198.00,3.469
199.00,3.351
200.00,3.307
201.00,3.220
202.00,3.111
203.00,2.947
204.00,2.822
205.00,2.712
206.00,2.591
207.00,2.488
208.00,2.375
209.00,2.262
210.00,2.171
211.00,2.077
212.00,1.993
213.00,1.911
214.00,1.829
215.00,1.754
216.00,1.680
217.00,1.612
218.00,1.543
219.00,1.476
220.00,1.412
221.00,1.354
222.00,1.297
223.00,1.240
224.00,1.183
225.00,1.127
226.00,1.072
227.00,1.017
228.00,0.963
229.00,0.913
230.00,0.866
231.00,0.823
232.00,0.783
233.00,0.746
234.00,0.715
235.00,0.687
236.00,0.663
237.00,0.642
238.00,0.624
239.00,0.609
240.00,0.596
241.00,0.586
242.00,0.579
243.00,0.573
244.00,0.570
245.00,0.568
246.00,0.567
247.00,0.567
248.00,0.567
249.00,0.568
250.00,0.570
251.00,0.573
252.00,0.576
253.00,0.579
254.00,0.583
255.00,0.586
256.00,0.590
257.00,0.594
258.00,0.597
259.00,0.599
260.00,0.602
261.00,0.604
262.00,0.607
263.00,0.610
264.00,0.613
265.00,0.616
266.00,0.618
267.00,0.620
268.00,0.622
269.00,0.623
270.00,0.624
271.00,0.624
272.00,0.624
273.00,0.623
274.00,0.622
275.00,0.620
276.00,0.617
277.00,0.614
278.00,0.609
279.00,0.604
280.00,0.599
281.00,0.593
282.00,0.587
283.00,0.579
284.00,0.571
285.00,0.562
286.00,0.553
287.00,0.544
288.00,0.535
289.00,0.526
290.00,0.515
291.00,0.505
292.00,0.496
293.00,0.487
294.00,0.479
295.00,0.471
296.00,0.464
297.00,0.458
298.00,0.451
299.00,0.444
300.00,0.437
301.00,0.430
302.00,0.424
303.00,0.418
304.00,0.411
305.00,0.405
306.00,0.398
307.00,0.392
308.00,0.385
309.00,0.379
310.00,0.372
311.00,0.366
312.00,0.360
313.00,0.354
314.00,0.348
315.00,0.343
316.00,0.337
317.00,0.331
318.00,0.325
319.00,0.320
320.00,0.314
321.00,0.308
322.00,0.302
323.00,0.296
324.00,0.291
325.00,0.285
326.00,0.279
327.00,0.274
328.00,0.268
329.00,0.262
330.00,0.257
331.00,0.251
332.00,0.246
333.00,0.241
334.00,0.235
335.00,0.230
336.00,0.226
337.00,0.221
338.00,0.216
339.00,0.212
340.00,0.207
341.00,0.202
342.00,0.197
343.00,0.194
344.00,0.189
345.00,0.185
346.00,0.182
347.00,0.178
348.00,0.175
349.00,0.171
350.00,0.168
351.00,0.165
352.00,0.161
353.00,0.159
354.00,0.156
355.00,0.153
356.00,0.150
357.00,0.148
358.00,0.145
359.00,0.142
360.00,0.140
361.00,0.138
362.00,0.136
363.00,0.134
364.00,0.132
365.00,0.130
366.00,0.128
367.00,0.126
368.00,0.124
369.00,0.122
370.00,0.121
371.00,0.119
372.00,0.118
373.00,0.116
374.00,0.114
375.00,0.113
376.00,0.111
377.00,0.110
378.00,0.109
379.00,0.107
380.00,0.106
381.00,0.104
382.00,0.103
383.00,0.102
384.00,0.101
385.00,0.100
386.00,0.099
387.00,0.097
388.00,0.096
389.00,0.095
390.00,0.094
391.00,0.093
392.00,0.092
393.00,0.091
394.00,0.090
395.00,0.090
396.00,0.089
397.00,0.088
398.00,0.087
399.00,0.086
400.00,0.085
401.00,0.085
402.00,0.084
403.00,0.083
404.00,0.083
405.00,0.082
406.00,0.081
407.00,0.080
408.00,0.080
409.00,0.079
410.00,0.078
411.00,0.078
412.00,0.077
413.00,0.077
414.00,0.076
415.00,0.076
416.00,0.075
417.00,0.075
418.00,0.074
419.00,0.074
420.00,0.073
421.00,0.073
422.00,0.072
423.00,0.072
424.00,0.071
425.00,0.071
426.00,0.070
427.00,0.070
428.00,0.070
429.00,0.069
430.00,0.069
431.00,0.068
432.00,0.068
433.00,0.068
434.00,0.067
435.00,0.067
436.00,0.066
437.00,0.066
438.00,0.066
439.00,0.065
440.00,0.065
441.00,0.064
442.00,0.064
443.00,0.064
444.00,0.063
445.00,0.063
446.00,0.063
447.00,0.062
448.00,0.062
449.00,0.062
450.00,0.062
451.00,0.061
452.00,0.061
453.00,0.061
454.00,0.060
455.00,0.060
456.00,0.060
457.00,0.059
458.00,0.059
459.00,0.059
460.00,0.059
461.00,0.058
462.00,0.058
463.00,0.058
464.00,0.057
465.00,0.057
466.00,0.057
467.00,0.057
468.00,0.056
469.00,0.056
470.00,0.056
471.00,0.055
472.00,0.055
473.00,0.055
474.00,0.055
475.00,0.054
476.00,0.054
477.00,0.054
478.00,0.054
479.00,0.053
480.00,0.053
481.00,0.053
482.00,0.053
483.00,0.052
484.00,0.052
485.00,0.052
486.00,0.052
487.00,0.052
488.00,0.051
489.00,0.051
490.00,0.051
491.00,0.051
492.00,0.051
493.00,0.050
494.00,0.050
495.00,0.050
496.00,0.050
497.00,0.050
498.00,0.049
499.00,0.049
500.00,0.049
501.00,0.049
502.00,0.049
503.00,0.049
504.00,0.048
505.00,0.048
506.00,0.048
507.00,0.048
508.00,0.048
509.00,0.048
510.00,0.047
511.00,0.047
512.00,0.047
513.00,0.047
514.00,0.047
515.00,0.047
516.00,0.047
517.00,0.046
518.00,0.046
519.00,0.046
520.00,0.046
521.00,0.046
522.00,0.046
523.00,0.046
524.00,0.046
525.00,0.045
526.00,0.045
527.00,0.045
528.00,0.045
529.00,0.045
530.00,0.045
531.00,0.045
532.00,0.045
533.00,0.045
534.00,0.044
535.00,0.044
536.00,0.045
537.00,0.044
538.00,0.044
539.00,0.044
540.00,0.044
541.00,0.044
542.00,0.044
543.00,0.044
544.00,0.044
545.00,0.043
546.00,0.043
547.00,0.043
548.00,0.043
549.00,0.043
550.00,0.043
551.00,0.043
552.00,0.043
553.00,0.043
554.00,0.043
555.00,0.043
556.00,0.042
557.00,0.042
558.00,0.042
559.00,0.042
560.00,0.042
561.00,0.042
562.00,0.042
563.00,0.042
564.00,0.042
565.00,0.042
566.00,0.042
567.00,0.042
568.00,0.042
569.00,0.042
570.00,0.042
571.00,0.042
572.00,0.041
573.00,0.041
574.00,0.041
575.00,0.041
576.00,0.041
577.00,0.041
578.00,0.041
579.00,0.041
580.00,0.041
581.00,0.041
582.00,0.041
583.00,0.041
584.00,0.041
585.00,0.041
586.00,0.041
587.00,0.041
588.00,0.041
589.00,0.041
590.00,0.041
591.00,0.041
592.00,0.040
593.00,0.040
594.00,0.041
595.00,0.041
596.00,0.040
597.00,0.040
598.00,0.040
599.00,0.040
600.00,0.040
601.00,0.040
602.00,0.040
603.00,0.040
604.00,0.040
605.00,0.040
606.00,0.040
607.00,0.040
608.00,0.040
609.00,0.040
610.00,0.040
611.00,0.040
612.00,0.040
613.00,0.040
614.00,0.040
615.00,0.040
616.00,0.040
617.00,0.040
618.00,0.040
619.00,0.040
620.00,0.040
621.00,0.040
622.00,0.040
623.00,0.040
624.00,0.040
625.00,0.040
626.00,0.040
627.00,0.040
628.00,0.040
629.00,0.040
630.00,0.040
631.00,0.040
632.00,0.040
633.00,0.040
634.00,0.040
635.00,0.040
636.00,0.040
637.00,0.040
638.00,0.040
639.00,0.040
640.00,0.040
641.00,0.040
642.00,0.040
643.00,0.039
644.00,0.039
645.00,0.039
646.00,0.039
647.00,0.039
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.039
654.00,0.039
655.00,0.039
656.00,0.039
657.00,0.039
658.00,0.039
659.00,0.039
660.00,0.039
661.00,0.039
662.00,0.039
663.00,0.039
664.00,0.039
665.00,0.039
666.00,0.039
667.00,0.039
668.00,0.039
669.00,0.039
670.00,0.039
671.00,0.039
672.00,0.039
673.00,0.039
674.00,0.039
675.00,0.039
676.00,0.039
677.00,0.039
678.00,0.039
679.00,0.039
680.00,0.039
681.00,0.039
682.00,0.039
683.00,0.039
684.00,0.039
685.00,0.039
686.00,0.039
687.00,0.039
688.00,0.039
