"Vieux-MontrealRousse50x - RawData"
"Wavelength nm.","Abs."
190.00,3.542
191.00,3.821
192.00,3.744
193.00,3.835
194.00,3.940
195.00,3.901
196.00,3.938
197.00,4.000
198.00,3.971
199.00,3.957
200.00,3.940
201.00,3.893
202.00,3.980
203.00,3.931
204.00,3.923
205.00,3.870
206.00,3.649
207.00,3.498
208.00,3.489
209.00,3.231
210.00,3.095
211.00,2.963
212.00,2.821
213.00,2.727
214.00,2.632
215.00,2.509
216.00,2.408
217.00,2.313
218.00,2.208
219.00,2.106
220.00,2.011
221.00,1.924
222.00,1.841
223.00,1.759
224.00,1.678
225.00,1.597
226.00,1.517
227.00,1.437
228.00,1.359
229.00,1.289
230.00,1.223
231.00,1.162
232.00,1.107
233.00,1.057
234.00,1.013
235.00,0.974
236.00,0.940
237.00,0.911
238.00,0.886
239.00,0.864
240.00,0.846
241.00,0.832
242.00,0.823
243.00,0.816
244.00,0.812
245.00,0.810
246.00,0.810
247.00,0.810
248.00,0.813
249.00,0.815
250.00,0.819
251.00,0.823
252.00,0.828
253.00,0.833
254.00,0.838
255.00,0.844
256.00,0.849
257.00,0.853
258.00,0.856
259.00,0.858
260.00,0.860
261.00,0.861
262.00,0.863
263.00,0.865
264.00,0.868
265.00,0.869
266.00,0.870
267.00,0.870
268.00,0.870
269.00,0.868
270.00,0.865
271.00,0.862
272.00,0.858
273.00,0.854
274.00,0.848
275.00,0.842
276.00,0.835
277.00,0.826
278.00,0.816
279.00,0.806
280.00,0.795
281.00,0.784
282.00,0.771
283.00,0.758
284.00,0.743
285.00,0.728
286.00,0.713
287.00,0.698
288.00,0.682
289.00,0.666
290.00,0.648
291.00,0.631
292.00,0.615
293.00,0.601
294.00,0.589
295.00,0.577
296.00,0.566
297.00,0.556
298.00,0.546
299.00,0.536
300.00,0.527
301.00,0.518
302.00,0.510
303.00,0.502
304.00,0.494
305.00,0.486
306.00,0.479
307.00,0.471
308.00,0.464
309.00,0.457
310.00,0.449
311.00,0.442
312.00,0.435
313.00,0.429
314.00,0.422
315.00,0.415
316.00,0.409
317.00,0.402
318.00,0.395
319.00,0.389
320.00,0.382
321.00,0.376
322.00,0.369
323.00,0.362
324.00,0.356
325.00,0.349
326.00,0.342
327.00,0.335
328.00,0.329
329.00,0.322
330.00,0.315
331.00,0.308
332.00,0.302
333.00,0.296
334.00,0.289
335.00,0.283
336.00,0.277
337.00,0.271
338.00,0.265
339.00,0.260
340.00,0.254
341.00,0.247
342.00,0.241
343.00,0.236
344.00,0.231
345.00,0.226
346.00,0.221
347.00,0.216
348.00,0.211
349.00,0.206
350.00,0.202
351.00,0.198
352.00,0.193
353.00,0.190
354.00,0.186
355.00,0.182
356.00,0.178
357.00,0.175
358.00,0.171
359.00,0.168
360.00,0.165
361.00,0.162
362.00,0.158
363.00,0.156
364.00,0.153
365.00,0.150
366.00,0.148
367.00,0.146
368.00,0.143
369.00,0.140
370.00,0.138
371.00,0.136
372.00,0.134
373.00,0.132
374.00,0.130
375.00,0.127
376.00,0.125
377.00,0.123
378.00,0.121
379.00,0.119
380.00,0.118
381.00,0.116
382.00,0.114
383.00,0.112
384.00,0.111
385.00,0.109
386.00,0.108
387.00,0.106
388.00,0.105
389.00,0.103
390.00,0.102
391.00,0.100
392.00,0.099
393.00,0.098
394.00,0.097
395.00,0.095
396.00,0.094
397.00,0.093
398.00,0.092
399.00,0.091
400.00,0.090
401.00,0.089
402.00,0.088
403.00,0.087
404.00,0.086
405.00,0.085
406.00,0.084
407.00,0.084
408.00,0.083
409.00,0.082
410.00,0.081
411.00,0.080
412.00,0.079
413.00,0.079
414.00,0.078
415.00,0.077
416.00,0.076
417.00,0.076
418.00,0.075
419.00,0.075
420.00,0.074
421.00,0.073
422.00,0.073
423.00,0.072
424.00,0.072
425.00,0.071
426.00,0.070
427.00,0.070
428.00,0.069
429.00,0.069
430.00,0.068
431.00,0.068
432.00,0.067
433.00,0.067
434.00,0.066
435.00,0.066
436.00,0.065
437.00,0.065
438.00,0.064
439.00,0.064
440.00,0.064
441.00,0.063
442.00,0.063
443.00,0.062
444.00,0.062
445.00,0.062
446.00,0.061
447.00,0.061
448.00,0.060
449.00,0.060
450.00,0.060
451.00,0.059
452.00,0.059
453.00,0.059
454.00,0.058
455.00,0.058
456.00,0.058
457.00,0.057
458.00,0.057
459.00,0.057
460.00,0.056
461.00,0.056
462.00,0.056
463.00,0.055
464.00,0.055
465.00,0.055
466.00,0.055
467.00,0.054
468.00,0.054
469.00,0.054
470.00,0.054
471.00,0.053
472.00,0.053
473.00,0.053
474.00,0.052
475.00,0.052
476.00,0.052
477.00,0.052
478.00,0.051
479.00,0.051
480.00,0.051
481.00,0.051
482.00,0.050
483.00,0.050
484.00,0.050
485.00,0.050
486.00,0.049
487.00,0.049
488.00,0.049
489.00,0.049
490.00,0.049
491.00,0.048
492.00,0.048
493.00,0.048
494.00,0.048
495.00,0.048
496.00,0.047
497.00,0.047
498.00,0.047
499.00,0.047
500.00,0.047
501.00,0.047
502.00,0.046
503.00,0.046
504.00,0.046
505.00,0.046
506.00,0.046
507.00,0.046
508.00,0.045
509.00,0.045
510.00,0.045
511.00,0.045
512.00,0.045
513.00,0.045
514.00,0.044
515.00,0.044
516.00,0.044
517.00,0.044
518.00,0.044
519.00,0.044
520.00,0.044
521.00,0.043
522.00,0.043
523.00,0.043
524.00,0.043
525.00,0.043
526.00,0.043
527.00,0.043
528.00,0.043
529.00,0.042
530.00,0.042
531.00,0.042
532.00,0.042
533.00,0.042
534.00,0.042
535.00,0.042
536.00,0.042
537.00,0.042
538.00,0.041
539.00,0.041
540.00,0.041
541.00,0.041
542.00,0.041
543.00,0.041
544.00,0.041
545.00,0.041
546.00,0.041
547.00,0.041
548.00,0.041
549.00,0.040
550.00,0.040
551.00,0.040
552.00,0.040
553.00,0.040
554.00,0.040
555.00,0.040
556.00,0.040
