"AlchimistRousse50x - RawData"
"Wavelength nm.","Abs."
190.00,3.307
191.00,3.631
192.00,3.804
193.00,3.748
194.00,3.700
195.00,3.719
196.00,3.758
197.00,3.889
198.00,3.880
199.00,3.742
200.00,3.873
201.00,3.799
202.00,3.743
203.00,3.909
204.00,3.810
205.00,3.799
206.00,3.586
207.00,3.553
208.00,3.509
209.00,3.379
210.00,3.265
211.00,3.109
212.00,3.041
213.00,2.885
214.00,2.751
215.00,2.630
216.00,2.513
217.00,2.397
218.00,2.287
219.00,2.181
220.00,2.073
221.00,1.974
222.00,1.883
223.00,1.791
224.00,1.699
225.00,1.611
226.00,1.523
227.00,1.433
228.00,1.349
229.00,1.272
230.00,1.202
231.00,1.138
232.00,1.081
233.00,1.031
234.00,0.987
235.00,0.948
236.00,0.916
237.00,0.889
238.00,0.867
239.00,0.849
240.00,0.835
241.00,0.824
242.00,0.817
243.00,0.814
244.00,0.812
245.00,0.812
246.00,0.814
247.00,0.817
248.00,0.821
249.00,0.826
250.00,0.831
251.00,0.837
252.00,0.843
253.00,0.849
254.00,0.856
255.00,0.862
256.00,0.868
257.00,0.872
258.00,0.874
259.00,0.876
260.00,0.877
261.00,0.878
262.00,0.879
263.00,0.880
264.00,0.880
265.00,0.879
266.00,0.878
267.00,0.876
268.00,0.872
269.00,0.867
270.00,0.861
271.00,0.853
272.00,0.845
273.00,0.836
274.00,0.825
275.00,0.814
276.00,0.801
277.00,0.787
278.00,0.772
279.00,0.756
280.00,0.739
281.00,0.722
282.00,0.705
283.00,0.686
284.00,0.666
285.00,0.646
286.00,0.627
287.00,0.608
288.00,0.588
289.00,0.568
290.00,0.547
291.00,0.526
292.00,0.508
293.00,0.493
294.00,0.479
295.00,0.467
296.00,0.456
297.00,0.447
298.00,0.438
299.00,0.430
300.00,0.422
301.00,0.415
302.00,0.409
303.00,0.402
304.00,0.397
305.00,0.391
306.00,0.385
307.00,0.379
308.00,0.374
309.00,0.369
310.00,0.364
311.00,0.359
312.00,0.354
313.00,0.350
314.00,0.345
315.00,0.340
316.00,0.336
317.00,0.331
318.00,0.326
319.00,0.322
320.00,0.317
321.00,0.312
322.00,0.307
323.00,0.302
324.00,0.298
325.00,0.292
326.00,0.287
327.00,0.282
328.00,0.277
329.00,0.271
330.00,0.266
331.00,0.260
332.00,0.255
333.00,0.250
334.00,0.245
335.00,0.239
336.00,0.235
337.00,0.230
338.00,0.225
339.00,0.220
340.00,0.215
341.00,0.208
342.00,0.202
343.00,0.198
344.00,0.194
345.00,0.189
346.00,0.185
347.00,0.181
348.00,0.176
349.00,0.172
350.00,0.169
351.00,0.165
352.00,0.161
353.00,0.157
354.00,0.154
355.00,0.151
356.00,0.148
357.00,0.144
358.00,0.141
359.00,0.138
360.00,0.135
361.00,0.133
362.00,0.130
363.00,0.128
364.00,0.125
365.00,0.123
366.00,0.121
367.00,0.119
368.00,0.117
369.00,0.115
370.00,0.113
371.00,0.111
372.00,0.109
373.00,0.108
374.00,0.106
375.00,0.104
376.00,0.102
377.00,0.101
378.00,0.100
379.00,0.098
380.00,0.096
381.00,0.095
382.00,0.094
383.00,0.093
384.00,0.091
385.00,0.090
386.00,0.089
387.00,0.088
388.00,0.087
389.00,0.086
390.00,0.085
391.00,0.084
392.00,0.083
393.00,0.082
394.00,0.081
395.00,0.080
396.00,0.079
397.00,0.079
398.00,0.078
399.00,0.077
400.00,0.076
401.00,0.076
402.00,0.075
403.00,0.074
404.00,0.074
405.00,0.073
406.00,0.073
407.00,0.072
408.00,0.072
409.00,0.071
410.00,0.071
411.00,0.070
412.00,0.069
413.00,0.069
414.00,0.068
415.00,0.068
416.00,0.067
417.00,0.067
418.00,0.067
419.00,0.067
420.00,0.066
421.00,0.066
422.00,0.065
423.00,0.065
424.00,0.065
425.00,0.064
426.00,0.064
427.00,0.064
428.00,0.063
429.00,0.063
430.00,0.063
431.00,0.062
432.00,0.062
433.00,0.062
434.00,0.061
435.00,0.061
436.00,0.061
437.00,0.060
438.00,0.060
439.00,0.060
440.00,0.060
441.00,0.059
442.00,0.059
443.00,0.059
444.00,0.059
445.00,0.058
446.00,0.058
447.00,0.058
448.00,0.058
449.00,0.058
450.00,0.057
451.00,0.057
452.00,0.057
453.00,0.057
454.00,0.056
455.00,0.056
456.00,0.056
457.00,0.056
458.00,0.056
459.00,0.055
460.00,0.055
461.00,0.055
462.00,0.055
463.00,0.055
464.00,0.055
465.00,0.054
466.00,0.054
467.00,0.054
468.00,0.054
469.00,0.054
470.00,0.054
471.00,0.053
472.00,0.053
473.00,0.053
474.00,0.053
475.00,0.053
476.00,0.053
477.00,0.053
478.00,0.052
479.00,0.052
480.00,0.052
481.00,0.052
482.00,0.052
483.00,0.051
484.00,0.051
485.00,0.051
486.00,0.051
487.00,0.051
488.00,0.051
489.00,0.051
490.00,0.051
491.00,0.050
492.00,0.050
493.00,0.050
494.00,0.050
495.00,0.050
496.00,0.050
497.00,0.050
498.00,0.050
499.00,0.049
500.00,0.049
501.00,0.049
502.00,0.049
503.00,0.049
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.049
508.00,0.049
509.00,0.048
510.00,0.048
511.00,0.048
512.00,0.048
513.00,0.048
514.00,0.048
515.00,0.048
516.00,0.048
517.00,0.048
518.00,0.048
519.00,0.047
520.00,0.047
521.00,0.047
522.00,0.047
523.00,0.047
524.00,0.047
525.00,0.047
526.00,0.047
527.00,0.047
528.00,0.047
529.00,0.047
530.00,0.047
531.00,0.047
532.00,0.046
533.00,0.046
534.00,0.046
535.00,0.046
536.00,0.046
537.00,0.046
538.00,0.046
539.00,0.046
540.00,0.046
541.00,0.046
542.00,0.046
543.00,0.046
544.00,0.045
545.00,0.045
546.00,0.045
547.00,0.045
548.00,0.045
549.00,0.045
550.00,0.045
551.00,0.045
552.00,0.045
553.00,0.045
554.00,0.045
555.00,0.045
556.00,0.045
557.00,0.045
558.00,0.045
559.00,0.045
560.00,0.045
561.00,0.045
562.00,0.045
563.00,0.045
564.00,0.045
565.00,0.044
566.00,0.044
567.00,0.044
568.00,0.044
569.00,0.044
570.00,0.044
571.00,0.044
572.00,0.044
573.00,0.044
574.00,0.044
575.00,0.044
576.00,0.044
577.00,0.044
578.00,0.044
579.00,0.044
580.00,0.044
581.00,0.044
582.00,0.044
583.00,0.044
584.00,0.044
585.00,0.044
586.00,0.044
587.00,0.044
588.00,0.044
589.00,0.044
590.00,0.044
591.00,0.044
592.00,0.044
593.00,0.044
594.00,0.044
595.00,0.044
596.00,0.044
597.00,0.044
598.00,0.044
599.00,0.044
600.00,0.044
601.00,0.044
602.00,0.044
603.00,0.044
604.00,0.044
605.00,0.044
606.00,0.044
607.00,0.044
608.00,0.044
609.00,0.044
610.00,0.044
611.00,0.044
612.00,0.044
613.00,0.044
614.00,0.044
615.00,0.044
616.00,0.043
617.00,0.044
618.00,0.043
619.00,0.043
620.00,0.043
621.00,0.043
622.00,0.043
623.00,0.043
624.00,0.043
625.00,0.043
626.00,0.043
627.00,0.043
628.00,0.043
629.00,0.043
630.00,0.043
631.00,0.043
632.00,0.043
633.00,0.043
634.00,0.043
635.00,0.043
636.00,0.043
637.00,0.043
638.00,0.043
639.00,0.043
640.00,0.043
641.00,0.043
642.00,0.043
643.00,0.043
644.00,0.043
645.00,0.043
646.00,0.043
647.00,0.043
648.00,0.043
649.00,0.043
650.00,0.043
651.00,0.043
652.00,0.043
653.00,0.043
654.00,0.043
655.00,0.043
656.00,0.043
657.00,0.043
658.00,0.043
659.00,0.043
660.00,0.043
661.00,0.043
662.00,0.043
663.00,0.043
664.00,0.043
665.00,0.043
666.00,0.043
667.00,0.043
668.00,0.043
669.00,0.043
670.00,0.043
671.00,0.043
672.00,0.043
673.00,0.043
674.00,0.043
675.00,0.043
676.00,0.043
677.00,0.043
678.00,0.043
679.00,0.043
680.00,0.043
681.00,0.043
682.00,0.043
683.00,0.043
684.00,0.043
685.00,0.043
686.00,0.043
687.00,0.043
688.00,0.043
689.00,0.043
690.00,0.043
691.00,0.043
692.00,0.043
693.00,0.043
694.00,0.043
695.00,0.043
696.00,0.043
697.00,0.043
698.00,0.043
699.00,0.043
700.00,0.043
701.00,0.043
702.00,0.043
703.00,0.043
704.00,0.043
705.00,0.043
706.00,0.044
707.00,0.044
708.00,0.044
709.00,0.044
710.00,0.044
711.00,0.044
712.00,0.044
713.00,0.044
714.00,0.045
715.00,0.045
716.00,0.045
717.00,0.045
718.00,0.045
719.00,0.045
720.00,0.046
721.00,0.046
722.00,0.046
723.00,0.046
724.00,0.047
725.00,0.047
726.00,0.047
727.00,0.047
728.00,0.048
729.00,0.048
730.00,0.049
731.00,0.049
732.00,0.050
733.00,0.050
734.00,0.051
735.00,0.051
736.00,0.051
737.00,0.051
738.00,0.052
739.00,0.052
740.00,0.052
741.00,0.052
742.00,0.052
743.00,0.052
744.00,0.052
745.00,0.052
746.00,0.052
747.00,0.052
748.00,0.052
749.00,0.052
750.00,0.052
751.00,0.052
752.00,0.052
753.00,0.052
754.00,0.052
755.00,0.052
756.00,0.052
757.00,0.052
758.00,0.052
759.00,0.052
760.00,0.052
761.00,0.052
762.00,0.052
763.00,0.052
764.00,0.052
765.00,0.052
766.00,0.052
767.00,0.052
768.00,0.052
769.00,0.052
770.00,0.052
771.00,0.052
772.00,0.052
773.00,0.052
774.00,0.052
775.00,0.052
776.00,0.052
777.00,0.051
778.00,0.051
779.00,0.051
780.00,0.051
781.00,0.051
782.00,0.051
783.00,0.051
784.00,0.051
785.00,0.051
786.00,0.051
787.00,0.050
788.00,0.050
789.00,0.050
790.00,0.050
791.00,0.050
792.00,0.050
793.00,0.050
794.00,0.050
795.00,0.050
796.00,0.050
797.00,0.050
798.00,0.049
799.00,0.049
800.00,0.049
801.00,0.049
802.00,0.049
803.00,0.049
804.00,0.049
805.00,0.049
806.00,0.049
807.00,0.049
808.00,0.049
809.00,0.049
810.00,0.049
811.00,0.049
812.00,0.049
813.00,0.049
814.00,0.049
815.00,0.049
816.00,0.049
817.00,0.049
818.00,0.049
819.00,0.049
820.00,0.050
821.00,0.050
822.00,0.050
823.00,0.050
824.00,0.051
825.00,0.051
826.00,0.051
827.00,0.052
828.00,0.052
829.00,0.053
830.00,0.054
831.00,0.054
832.00,0.055
833.00,0.055
834.00,0.055
835.00,0.056
836.00,0.056
837.00,0.056
838.00,0.056
839.00,0.056
840.00,0.056
841.00,0.057
842.00,0.057
843.00,0.057
844.00,0.057
845.00,0.057
846.00,0.057
847.00,0.057
848.00,0.057
849.00,0.058
850.00,0.058
851.00,0.058
852.00,0.058
853.00,0.058
854.00,0.058
855.00,0.058
856.00,0.058
857.00,0.059
858.00,0.059
859.00,0.059
860.00,0.059
861.00,0.059
862.00,0.059
863.00,0.059
864.00,0.059
865.00,0.060
866.00,0.060
867.00,0.060
868.00,0.060
869.00,0.060
870.00,0.060
871.00,0.060
872.00,0.061
873.00,0.061
874.00,0.061
875.00,0.061
876.00,0.062
877.00,0.062
878.00,0.062
879.00,0.062
880.00,0.063
881.00,0.063
882.00,0.063
883.00,0.063
884.00,0.064
885.00,0.064
