"BrasseurDuMondeBunker50x - RawData"
"Wavelength nm.","Abs."
190.00,3.816
191.00,3.799
192.00,3.494
193.00,3.706
194.00,3.783
195.00,3.773
196.00,3.812
197.00,3.735
198.00,3.832
199.00,3.933
200.00,3.865
201.00,3.973
202.00,3.890
203.00,3.910
204.00,3.876
205.00,3.814
206.00,3.839
207.00,3.747
208.00,3.670
209.00,3.382
210.00,3.402
211.00,3.223
212.00,3.071
213.00,2.920
214.00,2.825
215.00,2.687
216.00,2.572
217.00,2.442
218.00,2.330
219.00,2.212
220.00,2.107
221.00,2.008
222.00,1.911
223.00,1.814
224.00,1.716
225.00,1.622
226.00,1.530
227.00,1.437
228.00,1.347
229.00,1.266
230.00,1.190
231.00,1.123
232.00,1.063
233.00,1.009
234.00,0.963
235.00,0.923
236.00,0.889
237.00,0.861
238.00,0.838
239.00,0.818
240.00,0.803
241.00,0.791
242.00,0.782
243.00,0.776
244.00,0.772
245.00,0.770
246.00,0.769
247.00,0.770
248.00,0.771
249.00,0.773
250.00,0.775
251.00,0.779
252.00,0.783
253.00,0.787
254.00,0.791
255.00,0.795
256.00,0.799
257.00,0.801
258.00,0.803
259.00,0.804
260.00,0.805
261.00,0.805
262.00,0.806
263.00,0.807
264.00,0.808
265.00,0.808
266.00,0.807
267.00,0.807
268.00,0.805
269.00,0.802
270.00,0.797
271.00,0.791
272.00,0.784
273.00,0.775
274.00,0.766
275.00,0.755
276.00,0.743
277.00,0.730
278.00,0.715
279.00,0.699
280.00,0.683
281.00,0.666
282.00,0.649
283.00,0.629
284.00,0.608
285.00,0.586
286.00,0.566
287.00,0.545
288.00,0.524
289.00,0.503
290.00,0.481
291.00,0.460
292.00,0.442
293.00,0.426
294.00,0.412
295.00,0.400
296.00,0.390
297.00,0.381
298.00,0.372
299.00,0.364
300.00,0.357
301.00,0.351
302.00,0.345
303.00,0.340
304.00,0.336
305.00,0.331
306.00,0.328
307.00,0.324
308.00,0.321
309.00,0.317
310.00,0.314
311.00,0.312
312.00,0.308
313.00,0.306
314.00,0.303
315.00,0.300
316.00,0.297
317.00,0.295
318.00,0.291
319.00,0.288
320.00,0.285
321.00,0.281
322.00,0.278
323.00,0.274
324.00,0.270
325.00,0.267
326.00,0.262
327.00,0.258
328.00,0.253
329.00,0.249
330.00,0.243
331.00,0.239
332.00,0.234
333.00,0.229
334.00,0.224
335.00,0.219
336.00,0.214
337.00,0.209
338.00,0.204
339.00,0.200
340.00,0.195
341.00,0.189
342.00,0.183
343.00,0.179
344.00,0.174
345.00,0.170
346.00,0.166
347.00,0.162
348.00,0.157
349.00,0.153
350.00,0.149
351.00,0.146
352.00,0.142
353.00,0.139
354.00,0.135
355.00,0.132
356.00,0.129
357.00,0.126
358.00,0.123
359.00,0.120
360.00,0.118
361.00,0.115
362.00,0.112
363.00,0.110
364.00,0.108
365.00,0.106
366.00,0.104
367.00,0.102
368.00,0.100
369.00,0.098
370.00,0.096
371.00,0.095
372.00,0.093
373.00,0.092
374.00,0.090
375.00,0.088
376.00,0.087
377.00,0.085
378.00,0.084
379.00,0.083
380.00,0.081
381.00,0.080
382.00,0.079
383.00,0.077
384.00,0.076
385.00,0.075
386.00,0.074
387.00,0.073
388.00,0.072
389.00,0.071
390.00,0.070
391.00,0.069
392.00,0.068
393.00,0.067
394.00,0.067
395.00,0.066
396.00,0.065
397.00,0.064
398.00,0.064
399.00,0.063
400.00,0.062
401.00,0.062
402.00,0.061
403.00,0.061
404.00,0.060
405.00,0.060
406.00,0.059
407.00,0.058
408.00,0.058
409.00,0.058
410.00,0.057
411.00,0.057
412.00,0.056
413.00,0.056
414.00,0.056
415.00,0.055
416.00,0.055
417.00,0.055
418.00,0.055
419.00,0.054
420.00,0.054
421.00,0.054
422.00,0.054
423.00,0.053
424.00,0.053
425.00,0.053
426.00,0.053
427.00,0.052
428.00,0.052
429.00,0.052
430.00,0.052
431.00,0.052
432.00,0.051
433.00,0.051
434.00,0.051
435.00,0.051
436.00,0.051
437.00,0.051
438.00,0.050
439.00,0.050
440.00,0.050
441.00,0.050
442.00,0.050
443.00,0.050
444.00,0.050
445.00,0.049
446.00,0.049
447.00,0.049
448.00,0.049
449.00,0.049
450.00,0.049
451.00,0.049
452.00,0.049
453.00,0.048
454.00,0.048
455.00,0.048
456.00,0.048
457.00,0.048
458.00,0.048
459.00,0.048
460.00,0.048
461.00,0.048
462.00,0.047
463.00,0.047
464.00,0.047
465.00,0.047
466.00,0.047
467.00,0.047
468.00,0.047
469.00,0.047
470.00,0.047
471.00,0.047
472.00,0.046
473.00,0.046
474.00,0.046
475.00,0.046
476.00,0.046
477.00,0.046
478.00,0.046
479.00,0.046
480.00,0.046
481.00,0.046
482.00,0.045
483.00,0.045
484.00,0.045
485.00,0.045
486.00,0.045
487.00,0.045
488.00,0.045
489.00,0.045
490.00,0.045
491.00,0.045
492.00,0.045
493.00,0.045
494.00,0.044
495.00,0.044
496.00,0.044
497.00,0.044
498.00,0.044
499.00,0.044
500.00,0.044
501.00,0.044
502.00,0.044
503.00,0.044
504.00,0.044
505.00,0.044
506.00,0.044
507.00,0.044
508.00,0.044
509.00,0.043
510.00,0.043
511.00,0.043
512.00,0.043
513.00,0.043
514.00,0.043
515.00,0.043
516.00,0.043
517.00,0.043
518.00,0.043
519.00,0.043
520.00,0.043
521.00,0.043
522.00,0.043
523.00,0.043
524.00,0.043
525.00,0.043
526.00,0.043
527.00,0.042
528.00,0.042
529.00,0.042
530.00,0.042
531.00,0.042
532.00,0.042
533.00,0.042
534.00,0.042
535.00,0.042
536.00,0.042
537.00,0.042
538.00,0.042
539.00,0.042
540.00,0.042
541.00,0.042
542.00,0.042
543.00,0.042
544.00,0.042
545.00,0.042
546.00,0.041
547.00,0.041
548.00,0.041
549.00,0.041
550.00,0.041
551.00,0.041
552.00,0.041
553.00,0.041
554.00,0.041
555.00,0.041
556.00,0.041
557.00,0.041
558.00,0.041
559.00,0.041
560.00,0.041
561.00,0.041
562.00,0.041
563.00,0.041
564.00,0.041
565.00,0.041
566.00,0.041
567.00,0.041
568.00,0.041
569.00,0.041
570.00,0.041
571.00,0.041
572.00,0.041
573.00,0.041
574.00,0.041
575.00,0.041
576.00,0.041
577.00,0.041
578.00,0.040
579.00,0.040
580.00,0.041
581.00,0.040
582.00,0.040
583.00,0.040
584.00,0.040
585.00,0.040
586.00,0.040
587.00,0.040
588.00,0.040
589.00,0.040
590.00,0.040
591.00,0.040
592.00,0.040
593.00,0.040
594.00,0.040
595.00,0.040
596.00,0.040
597.00,0.040
598.00,0.040
599.00,0.040
600.00,0.040
601.00,0.041
602.00,0.041
603.00,0.040
604.00,0.041
605.00,0.041
606.00,0.040
607.00,0.040
608.00,0.040
609.00,0.040
610.00,0.040
611.00,0.040
612.00,0.040
613.00,0.040
614.00,0.040
615.00,0.040
616.00,0.040
617.00,0.040
618.00,0.040
619.00,0.040
620.00,0.040
621.00,0.040
622.00,0.040
623.00,0.040
624.00,0.040
625.00,0.040
626.00,0.040
627.00,0.040
628.00,0.040
629.00,0.040
630.00,0.040
631.00,0.040
632.00,0.040
633.00,0.040
634.00,0.040
635.00,0.040
636.00,0.040
637.00,0.040
638.00,0.040
639.00,0.040
640.00,0.040
641.00,0.040
642.00,0.040
643.00,0.040
644.00,0.040
645.00,0.040
646.00,0.040
647.00,0.040
648.00,0.040
649.00,0.040
650.00,0.040
651.00,0.040
652.00,0.040
653.00,0.040
654.00,0.040
655.00,0.040
656.00,0.040
657.00,0.040
658.00,0.040
659.00,0.040
660.00,0.040
661.00,0.040
662.00,0.040
663.00,0.040
664.00,0.040
665.00,0.040
666.00,0.040
667.00,0.040
668.00,0.040
669.00,0.040
670.00,0.040
671.00,0.040
672.00,0.040
673.00,0.039
674.00,0.039
675.00,0.039
676.00,0.040
677.00,0.040
678.00,0.039
679.00,0.040
680.00,0.039
681.00,0.039
682.00,0.039
683.00,0.039
684.00,0.039
685.00,0.039
686.00,0.039
687.00,0.039
688.00,0.039
689.00,0.040
690.00,0.039
691.00,0.039
692.00,0.039
693.00,0.040
694.00,0.040
695.00,0.040
696.00,0.040
697.00,0.040
698.00,0.040
699.00,0.040
700.00,0.040
701.00,0.040
702.00,0.040
703.00,0.040
704.00,0.040
705.00,0.040
706.00,0.040
707.00,0.040
708.00,0.040
709.00,0.040
710.00,0.040
711.00,0.041
712.00,0.041
713.00,0.041
714.00,0.041
715.00,0.041
716.00,0.041
717.00,0.042
718.00,0.042
719.00,0.042
720.00,0.042
721.00,0.042
722.00,0.043
723.00,0.043
724.00,0.043
725.00,0.043
726.00,0.044
727.00,0.044
728.00,0.044
729.00,0.045
730.00,0.045
731.00,0.046
732.00,0.046
733.00,0.047
734.00,0.047
735.00,0.047
736.00,0.048
737.00,0.048
738.00,0.048
739.00,0.048
740.00,0.048
741.00,0.048
742.00,0.048
743.00,0.048
744.00,0.048
745.00,0.048
746.00,0.048
747.00,0.048
748.00,0.048
749.00,0.048
750.00,0.048
751.00,0.048
752.00,0.048
753.00,0.048
754.00,0.048
755.00,0.048
756.00,0.048
757.00,0.048
758.00,0.048
759.00,0.049
760.00,0.049
761.00,0.048
762.00,0.048
763.00,0.048
764.00,0.048
765.00,0.048
766.00,0.048
767.00,0.048
768.00,0.048
769.00,0.048
770.00,0.048
771.00,0.048
772.00,0.048
773.00,0.048
774.00,0.048
775.00,0.048
776.00,0.048
777.00,0.048
778.00,0.047
779.00,0.047
780.00,0.047
781.00,0.047
782.00,0.047
783.00,0.047
784.00,0.047
785.00,0.047
786.00,0.047
787.00,0.047
788.00,0.047
789.00,0.046
790.00,0.046
791.00,0.046
792.00,0.046
793.00,0.046
794.00,0.046
795.00,0.046
796.00,0.046
797.00,0.046
798.00,0.046
799.00,0.045
800.00,0.045
801.00,0.046
802.00,0.045
803.00,0.045
804.00,0.045
805.00,0.045
806.00,0.045
807.00,0.045
808.00,0.045
809.00,0.045
810.00,0.045
811.00,0.045
812.00,0.045
813.00,0.045
814.00,0.045
815.00,0.045
816.00,0.045
817.00,0.045
818.00,0.046
819.00,0.046
820.00,0.046
821.00,0.046
822.00,0.046
823.00,0.046
824.00,0.047
