"Blanche_Belge_MC_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.186
191.00,3.561
192.00,3.535
193.00,3.738
194.00,3.628
195.00,3.753
196.00,3.776
197.00,3.686
198.00,3.808
199.00,3.761
200.00,3.793
201.00,3.741
202.00,3.881
203.00,3.858
204.00,3.803
205.00,3.792
206.00,3.771
207.00,3.654
208.00,3.706
209.00,3.448
210.00,3.386
211.00,3.227
212.00,3.074
213.00,2.945
214.00,2.841
215.00,2.704
216.00,2.577
217.00,2.464
218.00,2.355
219.00,2.245
220.00,2.132
221.00,2.031
222.00,1.928
223.00,1.832
224.00,1.736
225.00,1.640
226.00,1.546
227.00,1.448
228.00,1.353
229.00,1.264
230.00,1.177
231.00,1.096
232.00,1.022
233.00,0.954
234.00,0.894
235.00,0.841
236.00,0.794
237.00,0.755
238.00,0.724
239.00,0.698
240.00,0.678
241.00,0.662
242.00,0.652
243.00,0.644
244.00,0.638
245.00,0.635
246.00,0.633
247.00,0.632
248.00,0.632
249.00,0.633
250.00,0.635
251.00,0.638
252.00,0.641
253.00,0.644
254.00,0.647
255.00,0.651
256.00,0.656
257.00,0.660
258.00,0.663
259.00,0.666
260.00,0.670
261.00,0.673
262.00,0.677
263.00,0.682
264.00,0.686
265.00,0.690
266.00,0.694
267.00,0.697
268.00,0.699
269.00,0.701
270.00,0.702
271.00,0.702
272.00,0.702
273.00,0.701
274.00,0.698
275.00,0.695
276.00,0.690
277.00,0.684
278.00,0.676
279.00,0.667
280.00,0.658
281.00,0.648
282.00,0.637
283.00,0.624
284.00,0.609
285.00,0.593
286.00,0.577
287.00,0.562
288.00,0.546
289.00,0.530
290.00,0.512
291.00,0.494
292.00,0.477
293.00,0.462
294.00,0.449
295.00,0.437
296.00,0.426
297.00,0.416
298.00,0.406
299.00,0.396
300.00,0.388
301.00,0.380
302.00,0.373
303.00,0.366
304.00,0.360
305.00,0.355
306.00,0.350
307.00,0.345
308.00,0.341
309.00,0.337
310.00,0.333
311.00,0.330
312.00,0.327
313.00,0.324
314.00,0.321
315.00,0.318
316.00,0.316
317.00,0.313
318.00,0.310
319.00,0.307
320.00,0.304
321.00,0.301
322.00,0.297
323.00,0.294
324.00,0.290
325.00,0.286
326.00,0.283
327.00,0.279
328.00,0.274
329.00,0.270
330.00,0.265
331.00,0.261
332.00,0.256
333.00,0.251
334.00,0.246
335.00,0.241
336.00,0.236
337.00,0.231
338.00,0.226
339.00,0.221
340.00,0.216
341.00,0.210
342.00,0.204
343.00,0.199
344.00,0.194
345.00,0.189
346.00,0.185
347.00,0.180
348.00,0.175
349.00,0.171
350.00,0.166
351.00,0.162
352.00,0.158
353.00,0.154
354.00,0.150
355.00,0.146
356.00,0.142
357.00,0.138
358.00,0.135
359.00,0.131
360.00,0.128
361.00,0.125
362.00,0.122
363.00,0.119
364.00,0.117
365.00,0.114
366.00,0.112
367.00,0.109
368.00,0.107
369.00,0.105
370.00,0.103
371.00,0.101
372.00,0.099
373.00,0.098
374.00,0.096
375.00,0.094
376.00,0.092
377.00,0.091
378.00,0.090
379.00,0.088
380.00,0.087
381.00,0.085
382.00,0.084
383.00,0.083
384.00,0.082
385.00,0.081
386.00,0.080
387.00,0.079
388.00,0.078
389.00,0.077
390.00,0.076
391.00,0.075
392.00,0.075
393.00,0.074
394.00,0.073
395.00,0.073
396.00,0.072
397.00,0.071
398.00,0.071
399.00,0.070
400.00,0.070
401.00,0.069
402.00,0.069
403.00,0.068
404.00,0.068
405.00,0.067
406.00,0.067
407.00,0.066
408.00,0.066
409.00,0.066
410.00,0.065
411.00,0.065
412.00,0.064
413.00,0.064
414.00,0.064
415.00,0.063
416.00,0.063
417.00,0.063
418.00,0.063
419.00,0.062
420.00,0.062
421.00,0.062
422.00,0.061
423.00,0.061
424.00,0.061
425.00,0.061
426.00,0.060
427.00,0.060
428.00,0.060
429.00,0.060
430.00,0.059
431.00,0.059
432.00,0.059
433.00,0.059
434.00,0.058
435.00,0.058
436.00,0.058
437.00,0.058
438.00,0.058
439.00,0.057
440.00,0.057
441.00,0.057
442.00,0.057
443.00,0.057
444.00,0.056
445.00,0.056
446.00,0.056
447.00,0.056
448.00,0.055
449.00,0.055
450.00,0.055
451.00,0.055
452.00,0.055
453.00,0.055
454.00,0.054
455.00,0.054
456.00,0.054
457.00,0.054
458.00,0.054
459.00,0.054
460.00,0.053
461.00,0.053
462.00,0.053
463.00,0.053
464.00,0.053
465.00,0.053
466.00,0.053
467.00,0.052
468.00,0.052
469.00,0.052
470.00,0.052
471.00,0.052
472.00,0.052
473.00,0.052
474.00,0.052
475.00,0.051
476.00,0.051
477.00,0.051
478.00,0.051
479.00,0.051
480.00,0.051
481.00,0.051
482.00,0.050
483.00,0.050
484.00,0.050
485.00,0.050
486.00,0.050
487.00,0.050
488.00,0.050
489.00,0.050
490.00,0.049
491.00,0.049
492.00,0.049
493.00,0.049
494.00,0.049
495.00,0.049
496.00,0.049
497.00,0.049
498.00,0.048
499.00,0.048
500.00,0.048
501.00,0.048
502.00,0.048
503.00,0.048
504.00,0.048
505.00,0.048
506.00,0.048
507.00,0.048
508.00,0.047
509.00,0.047
510.00,0.047
511.00,0.047
512.00,0.047
513.00,0.047
514.00,0.047
515.00,0.047
516.00,0.047
517.00,0.047
518.00,0.047
519.00,0.047
520.00,0.047
521.00,0.046
522.00,0.046
523.00,0.046
524.00,0.046
525.00,0.046
526.00,0.046
527.00,0.046
528.00,0.046
529.00,0.046
530.00,0.046
531.00,0.046
532.00,0.046
533.00,0.045
534.00,0.045
535.00,0.045
536.00,0.046
537.00,0.045
538.00,0.045
539.00,0.045
540.00,0.045
541.00,0.045
542.00,0.045
543.00,0.045
544.00,0.045
545.00,0.045
546.00,0.045
547.00,0.045
548.00,0.045
549.00,0.044
550.00,0.044
551.00,0.044
552.00,0.044
553.00,0.044
554.00,0.044
555.00,0.044
556.00,0.044
557.00,0.044
558.00,0.044
559.00,0.044
560.00,0.044
561.00,0.044
562.00,0.044
563.00,0.044
564.00,0.044
565.00,0.044
566.00,0.044
567.00,0.043
568.00,0.043
569.00,0.043
570.00,0.043
571.00,0.043
572.00,0.043
573.00,0.043
574.00,0.043
575.00,0.043
576.00,0.043
577.00,0.043
578.00,0.043
