"berliner_weisse_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.399
191.00,3.555
192.00,3.358
193.00,3.735
194.00,3.611
195.00,3.799
196.00,3.525
197.00,3.620
198.00,3.680
199.00,3.581
200.00,3.528
201.00,3.786
202.00,3.698
203.00,3.740
204.00,3.539
205.00,3.598
206.00,3.395
207.00,3.345
208.00,3.241
209.00,3.083
210.00,2.968
211.00,2.833
212.00,2.703
213.00,2.602
214.00,2.472
215.00,2.364
216.00,2.260
217.00,2.160
218.00,2.057
219.00,1.952
220.00,1.853
221.00,1.761
222.00,1.672
223.00,1.584
224.00,1.495
225.00,1.409
226.00,1.322
227.00,1.232
228.00,1.146
229.00,1.065
230.00,0.989
231.00,0.920
232.00,0.858
233.00,0.802
234.00,0.754
235.00,0.713
236.00,0.677
237.00,0.646
238.00,0.620
239.00,0.599
240.00,0.581
241.00,0.566
242.00,0.557
243.00,0.550
244.00,0.546
245.00,0.544
246.00,0.543
247.00,0.544
248.00,0.545
249.00,0.548
250.00,0.551
251.00,0.555
252.00,0.559
253.00,0.563
254.00,0.568
255.00,0.572
256.00,0.577
257.00,0.581
258.00,0.584
259.00,0.587
260.00,0.590
261.00,0.592
262.00,0.594
263.00,0.597
264.00,0.599
265.00,0.600
266.00,0.601
267.00,0.601
268.00,0.600
269.00,0.598
270.00,0.596
271.00,0.594
272.00,0.590
273.00,0.586
274.00,0.581
275.00,0.575
276.00,0.568
277.00,0.561
278.00,0.552
279.00,0.544
280.00,0.534
281.00,0.525
282.00,0.514
283.00,0.502
284.00,0.490
285.00,0.476
286.00,0.463
287.00,0.451
288.00,0.439
289.00,0.426
290.00,0.411
291.00,0.397
292.00,0.384
293.00,0.373
294.00,0.362
295.00,0.353
296.00,0.344
297.00,0.337
298.00,0.329
299.00,0.322
300.00,0.315
301.00,0.308
302.00,0.302
303.00,0.297
304.00,0.292
305.00,0.287
306.00,0.282
307.00,0.277
308.00,0.273
309.00,0.269
310.00,0.265
311.00,0.261
312.00,0.258
313.00,0.255
314.00,0.252
315.00,0.249
316.00,0.246
317.00,0.243
318.00,0.239
319.00,0.237
320.00,0.233
321.00,0.230
322.00,0.227
323.00,0.224
324.00,0.221
325.00,0.217
326.00,0.214
327.00,0.211
328.00,0.207
329.00,0.204
330.00,0.200
331.00,0.196
332.00,0.193
333.00,0.189
334.00,0.185
