"Coup de Grisou - RawData"
"Wavelength nm.","Abs."
190.00,2.739
191.00,2.819
192.00,2.922
193.00,3.040
194.00,3.090
195.00,3.035
196.00,3.078
197.00,2.984
198.00,2.980
199.00,2.886
200.00,2.781
201.00,2.658
202.00,2.525
203.00,2.393
204.00,2.272
205.00,2.158
206.00,2.053
207.00,1.951
208.00,1.855
209.00,1.760
210.00,1.676
211.00,1.599
212.00,1.525
213.00,1.454
214.00,1.386
215.00,1.324
216.00,1.264
217.00,1.207
218.00,1.151
219.00,1.097
220.00,1.046
221.00,0.998
222.00,0.951
223.00,0.905
224.00,0.857
225.00,0.812
226.00,0.767
227.00,0.721
228.00,0.678
229.00,0.637
230.00,0.598
231.00,0.563
232.00,0.531
233.00,0.502
234.00,0.477
235.00,0.456
236.00,0.437
237.00,0.421
238.00,0.408
239.00,0.396
240.00,0.387
241.00,0.379
242.00,0.373
243.00,0.369
244.00,0.365
245.00,0.363
246.00,0.361
247.00,0.360
248.00,0.360
249.00,0.360
250.00,0.360
251.00,0.361
252.00,0.362
253.00,0.363
254.00,0.365
255.00,0.366
256.00,0.368
257.00,0.370
258.00,0.371
259.00,0.372
260.00,0.372
261.00,0.373
262.00,0.374
263.00,0.376
264.00,0.377
265.00,0.377
266.00,0.378
267.00,0.379
268.00,0.378
269.00,0.378
270.00,0.377
271.00,0.376
272.00,0.375
273.00,0.372
274.00,0.370
275.00,0.367
276.00,0.363
277.00,0.359
278.00,0.354
279.00,0.348
280.00,0.343
281.00,0.337
282.00,0.331
283.00,0.323
284.00,0.315
285.00,0.307
286.00,0.299
287.00,0.292
288.00,0.284
289.00,0.277
290.00,0.268
291.00,0.260
292.00,0.253
293.00,0.247
294.00,0.241
295.00,0.236
296.00,0.232
297.00,0.228
298.00,0.224
299.00,0.220
300.00,0.217
301.00,0.213
302.00,0.211
303.00,0.208
304.00,0.205
305.00,0.202
306.00,0.200
307.00,0.197
308.00,0.195
309.00,0.192
310.00,0.190
311.00,0.188
312.00,0.186
313.00,0.184
314.00,0.181
315.00,0.180
316.00,0.178
317.00,0.176
318.00,0.173
319.00,0.171
320.00,0.169
321.00,0.167
322.00,0.165
323.00,0.163
324.00,0.161
325.00,0.158
326.00,0.156
327.00,0.154
328.00,0.151
329.00,0.149
330.00,0.147
331.00,0.144
332.00,0.142
333.00,0.140
334.00,0.137
335.00,0.135
336.00,0.133
337.00,0.130
338.00,0.128
339.00,0.126
340.00,0.123
341.00,0.120
342.00,0.118
343.00,0.116
344.00,0.114
345.00,0.112
346.00,0.110
347.00,0.108
348.00,0.106
349.00,0.104
350.00,0.102
351.00,0.100
352.00,0.099
353.00,0.097
354.00,0.096
355.00,0.094
356.00,0.093
357.00,0.091
358.00,0.089
359.00,0.088
360.00,0.087
361.00,0.086
362.00,0.084
363.00,0.083
364.00,0.082
365.00,0.081
366.00,0.080
367.00,0.079
368.00,0.078
369.00,0.077
370.00,0.076
371.00,0.075
372.00,0.074
373.00,0.074
374.00,0.073
375.00,0.072
376.00,0.071
377.00,0.070
378.00,0.070
379.00,0.069
380.00,0.068
381.00,0.068
382.00,0.067
383.00,0.066
384.00,0.065
385.00,0.065
386.00,0.064
387.00,0.064
388.00,0.063
389.00,0.063
390.00,0.062
391.00,0.062
392.00,0.061
393.00,0.061
394.00,0.060
395.00,0.060
396.00,0.059
397.00,0.059
398.00,0.059
399.00,0.058
400.00,0.058
401.00,0.058
402.00,0.057
403.00,0.057
404.00,0.057
405.00,0.056
406.00,0.056
407.00,0.056
408.00,0.055
409.00,0.055
410.00,0.055
411.00,0.055
412.00,0.054
413.00,0.054
414.00,0.054
415.00,0.054
416.00,0.053
417.00,0.053
418.00,0.053
419.00,0.053
420.00,0.053
421.00,0.052
422.00,0.052
423.00,0.052
424.00,0.052
425.00,0.052
426.00,0.052
427.00,0.051
428.00,0.051
429.00,0.051
430.00,0.051
431.00,0.051
432.00,0.051
433.00,0.050
434.00,0.050
435.00,0.050
436.00,0.050
437.00,0.050
438.00,0.050
439.00,0.049
440.00,0.049
441.00,0.049
442.00,0.049
443.00,0.049
444.00,0.049
445.00,0.049
446.00,0.048
447.00,0.048
448.00,0.048
449.00,0.048
450.00,0.048
451.00,0.048
452.00,0.048
453.00,0.048
454.00,0.047
455.00,0.047
456.00,0.047
457.00,0.047
458.00,0.047
459.00,0.047
460.00,0.047
461.00,0.047
462.00,0.047
463.00,0.046
464.00,0.046
465.00,0.046
466.00,0.046
467.00,0.046
468.00,0.046
469.00,0.046
470.00,0.046
471.00,0.046
472.00,0.046
473.00,0.045
474.00,0.045
475.00,0.045
476.00,0.045
477.00,0.045
478.00,0.045
479.00,0.045
480.00,0.045
481.00,0.045
482.00,0.044
483.00,0.044
484.00,0.044
485.00,0.044
486.00,0.044
487.00,0.044
488.00,0.044
489.00,0.044
490.00,0.044
491.00,0.044
492.00,0.044
493.00,0.043
494.00,0.043
495.00,0.043
496.00,0.043
497.00,0.043
498.00,0.043
499.00,0.043
500.00,0.043
501.00,0.043
502.00,0.043
503.00,0.043
504.00,0.043
505.00,0.043
506.00,0.042
507.00,0.042
508.00,0.042
509.00,0.042
510.00,0.042
511.00,0.042
512.00,0.042
513.00,0.042
514.00,0.042
515.00,0.042
516.00,0.042
517.00,0.042
518.00,0.042
519.00,0.042
520.00,0.042
521.00,0.042
522.00,0.041
523.00,0.041
524.00,0.041
525.00,0.041
526.00,0.041
527.00,0.041
528.00,0.041
529.00,0.041
530.00,0.041
531.00,0.041
532.00,0.041
533.00,0.041
534.00,0.041
535.00,0.041
536.00,0.041
537.00,0.041
538.00,0.041
539.00,0.041
540.00,0.041
541.00,0.040
542.00,0.040
543.00,0.040
544.00,0.040
545.00,0.040
546.00,0.040
547.00,0.040
548.00,0.040
549.00,0.040
550.00,0.040
551.00,0.040
552.00,0.040
553.00,0.040
554.00,0.040
555.00,0.040
556.00,0.040
557.00,0.040
558.00,0.040
559.00,0.040
560.00,0.040
561.00,0.040
562.00,0.040
563.00,0.040
564.00,0.040
565.00,0.040
566.00,0.040
567.00,0.040
568.00,0.040
569.00,0.040
570.00,0.039
571.00,0.039
572.00,0.039
573.00,0.039
574.00,0.039
575.00,0.039
576.00,0.039
577.00,0.039
578.00,0.039
579.00,0.039
580.00,0.039
581.00,0.039
582.00,0.039
583.00,0.039
584.00,0.039
585.00,0.039
586.00,0.039
587.00,0.039
588.00,0.039
589.00,0.039
590.00,0.039
591.00,0.039
592.00,0.039
593.00,0.039
594.00,0.039
595.00,0.039
596.00,0.039
597.00,0.039
598.00,0.039
599.00,0.039
600.00,0.039
601.00,0.039
602.00,0.039
603.00,0.039
604.00,0.039
605.00,0.039
606.00,0.039
607.00,0.039
608.00,0.039
609.00,0.039
610.00,0.039
611.00,0.039
612.00,0.039
613.00,0.039
614.00,0.039
615.00,0.039
616.00,0.039
617.00,0.039
618.00,0.039
619.00,0.039
620.00,0.039
621.00,0.039
622.00,0.039
623.00,0.039
624.00,0.039
625.00,0.039
626.00,0.039
627.00,0.039
628.00,0.039
629.00,0.038
630.00,0.038
631.00,0.039
632.00,0.039
633.00,0.038
634.00,0.038
635.00,0.038
636.00,0.038
637.00,0.038
638.00,0.038
639.00,0.038
640.00,0.038
641.00,0.038
642.00,0.038
643.00,0.038
644.00,0.038
645.00,0.038
646.00,0.038
647.00,0.038
648.00,0.038
649.00,0.038
650.00,0.038
651.00,0.038
652.00,0.038
653.00,0.038
654.00,0.038
655.00,0.038
656.00,0.038
657.00,0.038
658.00,0.038
659.00,0.038
660.00,0.038
661.00,0.038
662.00,0.038
663.00,0.038
664.00,0.038
665.00,0.038
666.00,0.038
667.00,0.038
668.00,0.038
669.00,0.038
670.00,0.038
671.00,0.038
672.00,0.038
673.00,0.038
674.00,0.038
675.00,0.038
676.00,0.038
677.00,0.038
678.00,0.038
679.00,0.038
680.00,0.038
681.00,0.038
682.00,0.038
683.00,0.038
684.00,0.038
685.00,0.038
686.00,0.038
687.00,0.038
688.00,0.038
689.00,0.038
690.00,0.038
691.00,0.038
692.00,0.038
693.00,0.038
694.00,0.038
695.00,0.038
696.00,0.038
697.00,0.038
698.00,0.038
699.00,0.038
700.00,0.039
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.039
708.00,0.039
709.00,0.039
710.00,0.039
711.00,0.039
712.00,0.039
713.00,0.039
