"File_170130_163031 - RawData"
"Wavelength nm.","Abs."
190.00,3.373
191.00,3.275
192.00,3.178
193.00,3.262
194.00,3.580
195.00,3.487
196.00,3.388
197.00,3.478
198.00,3.408
199.00,3.358
200.00,3.404
201.00,3.284
202.00,3.201
203.00,3.129
204.00,2.983
205.00,2.862
206.00,2.733
207.00,2.610
208.00,2.487
209.00,2.385
210.00,2.283
211.00,2.180
212.00,2.088
213.00,2.000
214.00,1.912
215.00,1.830
216.00,1.751
217.00,1.673
218.00,1.600
219.00,1.524
220.00,1.453
221.00,1.387
222.00,1.323
223.00,1.259
224.00,1.193
225.00,1.130
226.00,1.065
227.00,1.000
228.00,0.937
229.00,0.880
230.00,0.826
231.00,0.776
232.00,0.731
233.00,0.691
234.00,0.657
235.00,0.628
236.00,0.603
237.00,0.582
238.00,0.565
239.00,0.550
240.00,0.538
241.00,0.529
242.00,0.523
243.00,0.519
244.00,0.516
245.00,0.514
246.00,0.514
247.00,0.514
248.00,0.515
249.00,0.517
250.00,0.519
251.00,0.522
252.00,0.525
253.00,0.529
254.00,0.532
255.00,0.536
256.00,0.540
257.00,0.544
258.00,0.546
259.00,0.549
260.00,0.551
261.00,0.554
262.00,0.557
263.00,0.559
264.00,0.561
265.00,0.563
266.00,0.564
267.00,0.565
268.00,0.566
269.00,0.565
270.00,0.564
271.00,0.562
272.00,0.560
273.00,0.557
274.00,0.553
275.00,0.548
276.00,0.542
277.00,0.535
278.00,0.527
279.00,0.519
280.00,0.511
281.00,0.502
282.00,0.492
283.00,0.480
284.00,0.468
285.00,0.456
286.00,0.445
287.00,0.434
288.00,0.422
289.00,0.411
290.00,0.398
291.00,0.386
292.00,0.376
293.00,0.366
294.00,0.358
295.00,0.350
296.00,0.343
297.00,0.337
298.00,0.331
299.00,0.325
300.00,0.320
301.00,0.314
302.00,0.310
303.00,0.305
304.00,0.301
305.00,0.296
306.00,0.292
307.00,0.288
308.00,0.284
309.00,0.280
310.00,0.276
311.00,0.272
312.00,0.268
313.00,0.265
314.00,0.261
315.00,0.258
316.00,0.254
317.00,0.251
318.00,0.248
319.00,0.244
320.00,0.240
321.00,0.237
322.00,0.233
323.00,0.229
324.00,0.226
325.00,0.221
326.00,0.218
327.00,0.214
328.00,0.209
329.00,0.205
330.00,0.201
331.00,0.198
332.00,0.193
333.00,0.189
334.00,0.186
335.00,0.182
336.00,0.178
337.00,0.174
338.00,0.171
339.00,0.167
340.00,0.164
341.00,0.159
342.00,0.156
343.00,0.153
344.00,0.149
345.00,0.146
346.00,0.143
347.00,0.140
348.00,0.137
349.00,0.134
350.00,0.132
351.00,0.129
352.00,0.127
353.00,0.124
354.00,0.122
355.00,0.120
356.00,0.117
357.00,0.115
358.00,0.113
359.00,0.111
360.00,0.109
361.00,0.108
362.00,0.105
363.00,0.104
364.00,0.103
365.00,0.101
366.00,0.100
367.00,0.098
368.00,0.097
369.00,0.095
370.00,0.094
371.00,0.093
372.00,0.091
373.00,0.090
374.00,0.089
375.00,0.088
376.00,0.087
