"File_170130_162619 - RawData"
"Wavelength nm.","Abs."
190.00,3.195
191.00,3.169
192.00,3.031
193.00,3.462
194.00,3.365
195.00,3.397
196.00,3.452
197.00,3.261
198.00,3.338
199.00,3.424
200.00,3.369
201.00,3.390
202.00,3.246
203.00,3.228
204.00,3.109
205.00,3.007
206.00,2.883
207.00,2.799
208.00,2.664
209.00,2.568
210.00,2.447
211.00,2.347
212.00,2.258
213.00,2.168
214.00,2.078
215.00,1.992
216.00,1.911
217.00,1.832
218.00,1.754
219.00,1.675
220.00,1.601
221.00,1.530
222.00,1.461
223.00,1.392
224.00,1.322
225.00,1.255
226.00,1.188
227.00,1.120
228.00,1.055
229.00,0.996
230.00,0.939
231.00,0.886
232.00,0.837
233.00,0.794
234.00,0.756
235.00,0.724
236.00,0.696
237.00,0.671
238.00,0.650
239.00,0.632
240.00,0.617
241.00,0.605
242.00,0.596
243.00,0.590
244.00,0.585
245.00,0.582
246.00,0.580
247.00,0.579
248.00,0.579
249.00,0.580
250.00,0.582
251.00,0.584
252.00,0.587
253.00,0.590
254.00,0.593
255.00,0.597
256.00,0.600
257.00,0.604
258.00,0.607
259.00,0.610
260.00,0.613
261.00,0.616
262.00,0.619
263.00,0.622
264.00,0.625
265.00,0.627
266.00,0.629
267.00,0.632
268.00,0.634
269.00,0.635
270.00,0.635
271.00,0.635
272.00,0.636
273.00,0.635
274.00,0.633
275.00,0.631
276.00,0.628
277.00,0.624
278.00,0.619
279.00,0.614
280.00,0.608
281.00,0.603
282.00,0.595
283.00,0.587
284.00,0.578
285.00,0.568
286.00,0.559
287.00,0.550
288.00,0.541
289.00,0.532
290.00,0.521
291.00,0.510
292.00,0.501
293.00,0.492
294.00,0.484
295.00,0.477
296.00,0.470
297.00,0.463
298.00,0.456
299.00,0.449
300.00,0.443
301.00,0.436
302.00,0.429
303.00,0.423
304.00,0.417
305.00,0.410
306.00,0.404
307.00,0.397
308.00,0.390
309.00,0.384
310.00,0.377
311.00,0.370
312.00,0.365
313.00,0.358
314.00,0.352
315.00,0.346
316.00,0.341
317.00,0.335
318.00,0.329
319.00,0.323
320.00,0.317
321.00,0.311
322.00,0.306
323.00,0.300
324.00,0.294
325.00,0.289
326.00,0.283
327.00,0.278
328.00,0.272
329.00,0.267
330.00,0.261
331.00,0.256
332.00,0.251
333.00,0.246
334.00,0.241
335.00,0.236
336.00,0.232
337.00,0.227
338.00,0.223
339.00,0.219
340.00,0.215
341.00,0.209
342.00,0.205
343.00,0.201
344.00,0.197
345.00,0.193
346.00,0.190
347.00,0.186
348.00,0.183
349.00,0.179
350.00,0.176
351.00,0.173
352.00,0.170
353.00,0.167
354.00,0.164
355.00,0.161
356.00,0.159
357.00,0.156
358.00,0.153
359.00,0.151
360.00,0.148
361.00,0.146
362.00,0.144
363.00,0.142
364.00,0.140
365.00,0.137
366.00,0.135
367.00,0.133
368.00,0.132
369.00,0.130
370.00,0.128
371.00,0.126
372.00,0.124
373.00,0.123
374.00,0.121
375.00,0.119
376.00,0.118
377.00,0.117
378.00,0.115
379.00,0.114
380.00,0.112
381.00,0.111
382.00,0.109
383.00,0.108
384.00,0.107
385.00,0.105
386.00,0.104
387.00,0.103
388.00,0.102
389.00,0.101
390.00,0.100
391.00,0.098
392.00,0.098
393.00,0.097
394.00,0.095
395.00,0.094
396.00,0.094
397.00,0.093
398.00,0.092
399.00,0.091
400.00,0.090
401.00,0.089
402.00,0.088
403.00,0.088
404.00,0.087
405.00,0.086
406.00,0.085
407.00,0.085
408.00,0.084
409.00,0.083
410.00,0.082
411.00,0.082
412.00,0.081
413.00,0.080
414.00,0.080
415.00,0.079
416.00,0.079
417.00,0.078
418.00,0.078
419.00,0.077
420.00,0.077
421.00,0.076
422.00,0.075
423.00,0.075
424.00,0.074
425.00,0.074
426.00,0.073
427.00,0.073
428.00,0.072
429.00,0.072
430.00,0.071
431.00,0.071
432.00,0.071
433.00,0.070
434.00,0.070
435.00,0.069
436.00,0.069
437.00,0.068
438.00,0.068
439.00,0.068
440.00,0.067
441.00,0.067
442.00,0.066
443.00,0.066
444.00,0.065
445.00,0.065
446.00,0.065
447.00,0.064
448.00,0.064
449.00,0.064
450.00,0.063
451.00,0.063
452.00,0.063
453.00,0.062
454.00,0.062
455.00,0.062
456.00,0.061
457.00,0.061
458.00,0.061
459.00,0.060
460.00,0.060
461.00,0.060
462.00,0.059
463.00,0.059
464.00,0.059
465.00,0.059
466.00,0.058
467.00,0.058
468.00,0.058
469.00,0.057
470.00,0.057
471.00,0.057
472.00,0.056
473.00,0.056
474.00,0.056
475.00,0.056
476.00,0.055
477.00,0.055
478.00,0.055
479.00,0.054
480.00,0.054
481.00,0.054
482.00,0.054
483.00,0.053
484.00,0.053
485.00,0.053
486.00,0.053
487.00,0.052
488.00,0.052
489.00,0.052
490.00,0.052
491.00,0.051
492.00,0.051
493.00,0.051
494.00,0.051
495.00,0.051
496.00,0.050
497.00,0.050
498.00,0.050
499.00,0.050
500.00,0.050
501.00,0.049
502.00,0.049
503.00,0.049
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.048
508.00,0.048
509.00,0.048
510.00,0.048
511.00,0.048
512.00,0.048
513.00,0.047
514.00,0.047
515.00,0.047
516.00,0.047
517.00,0.047
518.00,0.047
519.00,0.047
520.00,0.046
521.00,0.046
522.00,0.046
523.00,0.046
524.00,0.046
525.00,0.046
526.00,0.046
527.00,0.045
528.00,0.045
529.00,0.045
530.00,0.045
531.00,0.045
532.00,0.045
533.00,0.045
534.00,0.045
535.00,0.044
536.00,0.045
537.00,0.044
538.00,0.044
539.00,0.044
540.00,0.044
541.00,0.044
542.00,0.044
