"File_170130_163542 - RawData"
"Wavelength nm.","Abs."
190.00,3.148
191.00,3.031
192.00,3.053
193.00,3.298
194.00,3.310
195.00,3.210
196.00,3.315
197.00,3.151
198.00,3.166
199.00,3.152
200.00,3.073
201.00,2.940
202.00,2.837
203.00,2.693
204.00,2.570
205.00,2.421
206.00,2.289
207.00,2.173
208.00,2.061
209.00,1.956
210.00,1.859
211.00,1.772
212.00,1.688
213.00,1.607
214.00,1.531
215.00,1.461
216.00,1.392
217.00,1.327
218.00,1.262
219.00,1.198
220.00,1.137
221.00,1.081
222.00,1.025
223.00,0.971
224.00,0.914
225.00,0.859
226.00,0.804
227.00,0.748
228.00,0.695
229.00,0.648
230.00,0.603
231.00,0.564
232.00,0.530
233.00,0.499
234.00,0.473
235.00,0.451
236.00,0.433
237.00,0.418
238.00,0.406
239.00,0.396
240.00,0.389
241.00,0.384
242.00,0.380
243.00,0.378
244.00,0.377
245.00,0.377
246.00,0.378
247.00,0.380
248.00,0.381
249.00,0.383
250.00,0.385
251.00,0.388
252.00,0.390
253.00,0.393
254.00,0.395
255.00,0.398
256.00,0.400
257.00,0.402
258.00,0.403
259.00,0.404
260.00,0.404
261.00,0.404
262.00,0.405
263.00,0.406
264.00,0.406
265.00,0.405
266.00,0.405
267.00,0.404
268.00,0.402
269.00,0.401
270.00,0.398
271.00,0.395
272.00,0.392
273.00,0.388
274.00,0.383
275.00,0.378
276.00,0.373
277.00,0.367
278.00,0.360
279.00,0.354
280.00,0.347
281.00,0.340
282.00,0.332
283.00,0.323
284.00,0.314
285.00,0.304
286.00,0.296
287.00,0.288
288.00,0.279
289.00,0.271
290.00,0.261
291.00,0.252
292.00,0.244
293.00,0.237
294.00,0.230
295.00,0.225
296.00,0.220
297.00,0.215
298.00,0.211
299.00,0.207
300.00,0.204
301.00,0.200
302.00,0.198
303.00,0.195
304.00,0.192
305.00,0.190
306.00,0.188
307.00,0.185
308.00,0.183
309.00,0.181
310.00,0.179
311.00,0.178
312.00,0.176
313.00,0.174
314.00,0.172
315.00,0.170
316.00,0.169
317.00,0.167
318.00,0.165
319.00,0.164
320.00,0.163
321.00,0.161
322.00,0.159
323.00,0.157
324.00,0.155
325.00,0.153
326.00,0.151
327.00,0.149
328.00,0.147
329.00,0.145
330.00,0.143
331.00,0.141
332.00,0.138
333.00,0.136
334.00,0.134
335.00,0.132
336.00,0.130
337.00,0.128
338.00,0.125
339.00,0.124
340.00,0.122
341.00,0.119
342.00,0.117
343.00,0.115
344.00,0.112
345.00,0.110
346.00,0.109
347.00,0.107
348.00,0.105
349.00,0.103
350.00,0.101
351.00,0.099
352.00,0.098
353.00,0.096
354.00,0.095
355.00,0.093
356.00,0.091
357.00,0.090
358.00,0.089
359.00,0.087
360.00,0.086
361.00,0.085
362.00,0.084
363.00,0.083
364.00,0.082
365.00,0.080
366.00,0.079
367.00,0.079
368.00,0.078
369.00,0.077
370.00,0.076
371.00,0.075
372.00,0.074
373.00,0.073
374.00,0.072
375.00,0.072
376.00,0.071
377.00,0.070
378.00,0.069
379.00,0.069
380.00,0.068
381.00,0.067
382.00,0.067
383.00,0.066
384.00,0.065
385.00,0.065
386.00,0.064
387.00,0.064
388.00,0.063
389.00,0.063
390.00,0.062
391.00,0.061
392.00,0.061
393.00,0.060
394.00,0.060
395.00,0.059
396.00,0.059
397.00,0.059
398.00,0.058
399.00,0.058
400.00,0.058
401.00,0.057
402.00,0.057
403.00,0.056
404.00,0.056
405.00,0.056
406.00,0.056
407.00,0.055
408.00,0.055
409.00,0.055
410.00,0.054
411.00,0.054
412.00,0.054
413.00,0.054
414.00,0.053
415.00,0.053
416.00,0.053
417.00,0.053
418.00,0.053
419.00,0.052
420.00,0.052
421.00,0.052
422.00,0.052
423.00,0.052
424.00,0.052
425.00,0.051
426.00,0.051
427.00,0.051
428.00,0.051
429.00,0.051
430.00,0.051
431.00,0.051
432.00,0.050
433.00,0.050
434.00,0.050
435.00,0.050
436.00,0.050
437.00,0.050
438.00,0.050
439.00,0.049
440.00,0.049
441.00,0.049
442.00,0.049
443.00,0.049
444.00,0.049
445.00,0.049
446.00,0.049
447.00,0.048
448.00,0.048
449.00,0.048
450.00,0.048
451.00,0.048
452.00,0.048
453.00,0.048
454.00,0.048
455.00,0.048
456.00,0.048
457.00,0.047
458.00,0.047
459.00,0.047
460.00,0.047
461.00,0.047
462.00,0.047
463.00,0.047
464.00,0.047
465.00,0.047
466.00,0.047
467.00,0.047
468.00,0.046
469.00,0.046
470.00,0.046
471.00,0.046
472.00,0.046
473.00,0.046
474.00,0.046
475.00,0.046
476.00,0.046
477.00,0.046
478.00,0.046
479.00,0.045
480.00,0.045
481.00,0.045
482.00,0.045
483.00,0.045
484.00,0.045
485.00,0.045
486.00,0.045
487.00,0.045
488.00,0.045
489.00,0.045
490.00,0.045
491.00,0.044
492.00,0.044
493.00,0.044
494.00,0.044
495.00,0.044
496.00,0.044
497.00,0.044
498.00,0.044
499.00,0.044
500.00,0.044
501.00,0.044
502.00,0.044
503.00,0.044
504.00,0.044
505.00,0.044
506.00,0.043
507.00,0.043
508.00,0.043
509.00,0.043
510.00,0.043
511.00,0.043
512.00,0.043
513.00,0.043
514.00,0.043
515.00,0.043
516.00,0.043
517.00,0.043
518.00,0.043
519.00,0.043
520.00,0.043
521.00,0.043
522.00,0.043
523.00,0.043
524.00,0.043
525.00,0.043
526.00,0.043
527.00,0.042
528.00,0.042
529.00,0.042
530.00,0.042
531.00,0.042
532.00,0.042
533.00,0.042
534.00,0.042
535.00,0.042
536.00,0.042
537.00,0.042
538.00,0.042
539.00,0.042
540.00,0.042
541.00,0.042
542.00,0.042
543.00,0.042
544.00,0.042
545.00,0.042
546.00,0.041
547.00,0.042
548.00,0.041
549.00,0.041
550.00,0.041
551.00,0.041
552.00,0.041
553.00,0.041
554.00,0.041
555.00,0.041
556.00,0.041
557.00,0.041
558.00,0.041
559.00,0.041
560.00,0.041
561.00,0.041
562.00,0.041
563.00,0.041
564.00,0.041
565.00,0.041
566.00,0.041
567.00,0.041
568.00,0.041
569.00,0.041
570.00,0.041
571.00,0.041
572.00,0.041
573.00,0.041
574.00,0.041
575.00,0.041
576.00,0.041
577.00,0.041
578.00,0.040
579.00,0.041
580.00,0.041
581.00,0.040
582.00,0.040
583.00,0.040
584.00,0.040
585.00,0.040
586.00,0.040
587.00,0.040
588.00,0.040
589.00,0.040
590.00,0.040
591.00,0.040
592.00,0.040
593.00,0.040
594.00,0.040
595.00,0.040
596.00,0.040
597.00,0.040
598.00,0.040
599.00,0.040
600.00,0.040
601.00,0.040
602.00,0.040
603.00,0.040
604.00,0.040
605.00,0.040
606.00,0.040
607.00,0.040
608.00,0.040
609.00,0.040
610.00,0.040
611.00,0.040
612.00,0.040
613.00,0.040
614.00,0.040
615.00,0.040
616.00,0.040
617.00,0.040
618.00,0.040
619.00,0.040
620.00,0.040
621.00,0.040
622.00,0.040
623.00,0.040
624.00,0.040
625.00,0.040
626.00,0.040
627.00,0.040
628.00,0.040
629.00,0.040
630.00,0.040
631.00,0.040
632.00,0.040
633.00,0.040
634.00,0.040
635.00,0.040
636.00,0.040
637.00,0.040
638.00,0.040
639.00,0.040
640.00,0.040
641.00,0.040
642.00,0.040
643.00,0.040
644.00,0.040
645.00,0.040
646.00,0.040
647.00,0.040
648.00,0.040
649.00,0.040
650.00,0.040
651.00,0.040
652.00,0.040
653.00,0.040
654.00,0.040
655.00,0.040
656.00,0.040
657.00,0.040
658.00,0.040
659.00,0.040
660.00,0.040
661.00,0.040
662.00,0.040
663.00,0.040
664.00,0.040
665.00,0.040
666.00,0.040
667.00,0.040
668.00,0.040
669.00,0.040
670.00,0.040
671.00,0.040
672.00,0.040
673.00,0.040
674.00,0.040
675.00,0.040
676.00,0.040
677.00,0.040
678.00,0.040
679.00,0.040
680.00,0.040
681.00,0.040
682.00,0.040
683.00,0.040
684.00,0.040
685.00,0.040
686.00,0.040
687.00,0.040
688.00,0.040
689.00,0.040
690.00,0.040
691.00,0.040
692.00,0.040
693.00,0.040
694.00,0.040
695.00,0.040
696.00,0.040
697.00,0.040
698.00,0.040
699.00,0.040
700.00,0.040
701.00,0.040
702.00,0.040
703.00,0.040
704.00,0.040
705.00,0.040
706.00,0.040
707.00,0.040
708.00,0.041
709.00,0.041
710.00,0.041
711.00,0.041
712.00,0.041
713.00,0.041
714.00,0.041
715.00,0.041
716.00,0.041
717.00,0.042
718.00,0.042
719.00,0.042
720.00,0.042
721.00,0.042
722.00,0.043
723.00,0.043
724.00,0.043
725.00,0.043
726.00,0.044
727.00,0.044
728.00,0.044
729.00,0.045
730.00,0.045
731.00,0.046
732.00,0.046
733.00,0.046
734.00,0.047
735.00,0.047
736.00,0.047
737.00,0.048
738.00,0.048
739.00,0.048
740.00,0.048
741.00,0.048
742.00,0.048
743.00,0.048
744.00,0.048
745.00,0.048
746.00,0.048
747.00,0.048
748.00,0.048
749.00,0.048
750.00,0.048
751.00,0.048
752.00,0.048
753.00,0.048
754.00,0.048
755.00,0.048
756.00,0.048
757.00,0.048
758.00,0.048
759.00,0.048
760.00,0.049
761.00,0.048
762.00,0.048
763.00,0.048
764.00,0.048
765.00,0.048
766.00,0.048
767.00,0.048
768.00,0.048
769.00,0.048
770.00,0.048
771.00,0.048
772.00,0.048
773.00,0.048
774.00,0.048
775.00,0.048
776.00,0.048
777.00,0.048
778.00,0.048
779.00,0.048
780.00,0.048
781.00,0.047
782.00,0.047
783.00,0.047
784.00,0.047
785.00,0.047
786.00,0.047
787.00,0.047
788.00,0.047
789.00,0.047
790.00,0.047
791.00,0.047
792.00,0.047
793.00,0.046
794.00,0.046
795.00,0.046
796.00,0.046
797.00,0.046
798.00,0.046
799.00,0.046
800.00,0.046
801.00,0.046
802.00,0.046
803.00,0.046
804.00,0.046
805.00,0.045
806.00,0.045
807.00,0.045
808.00,0.045
809.00,0.045
810.00,0.045
811.00,0.045
812.00,0.045
813.00,0.045
814.00,0.045
815.00,0.046
816.00,0.046
817.00,0.046
818.00,0.046
819.00,0.046
820.00,0.046
