"File_170130_163754 - RawData"
"Wavelength nm.","Abs."
190.00,3.127
191.00,3.159
192.00,3.296
193.00,3.075
194.00,3.243
195.00,3.303
196.00,3.270
197.00,3.370
198.00,3.187
199.00,3.324
200.00,3.201
201.00,3.186
202.00,3.060
203.00,2.977
204.00,2.817
205.00,2.680
206.00,2.539
207.00,2.415
208.00,2.303
209.00,2.195
210.00,2.084
211.00,1.985
212.00,1.890
213.00,1.799
214.00,1.715
215.00,1.632
216.00,1.556
217.00,1.481
218.00,1.407
219.00,1.333
220.00,1.263
221.00,1.200
222.00,1.138
223.00,1.077
224.00,1.014
225.00,0.954
226.00,0.893
227.00,0.832
228.00,0.773
229.00,0.720
230.00,0.670
231.00,0.626
232.00,0.586
233.00,0.550
234.00,0.520
235.00,0.494
236.00,0.472
237.00,0.454
238.00,0.439
239.00,0.427
240.00,0.418
241.00,0.411
242.00,0.407
243.00,0.404
244.00,0.402
245.00,0.401
246.00,0.402
247.00,0.403
248.00,0.404
249.00,0.406
250.00,0.409
251.00,0.411
252.00,0.414
253.00,0.417
254.00,0.420
255.00,0.423
256.00,0.426
257.00,0.429
258.00,0.430
259.00,0.431
260.00,0.432
261.00,0.433
262.00,0.435
263.00,0.436
264.00,0.437
265.00,0.438
266.00,0.438
267.00,0.438
268.00,0.437
269.00,0.436
270.00,0.433
271.00,0.431
272.00,0.428
273.00,0.424
274.00,0.420
275.00,0.415
276.00,0.410
277.00,0.403
278.00,0.396
279.00,0.389
280.00,0.381
281.00,0.373
282.00,0.365
283.00,0.355
284.00,0.345
285.00,0.334
286.00,0.324
287.00,0.314
288.00,0.305
289.00,0.295
290.00,0.284
291.00,0.274
292.00,0.264
293.00,0.256
294.00,0.249
295.00,0.243
296.00,0.238
297.00,0.233
298.00,0.228
299.00,0.224
300.00,0.220
301.00,0.217
302.00,0.214
303.00,0.211
304.00,0.208
305.00,0.206
306.00,0.203
307.00,0.201
308.00,0.198
309.00,0.196
310.00,0.194
311.00,0.192
312.00,0.191
313.00,0.189
314.00,0.187
315.00,0.185
316.00,0.183
317.00,0.182
318.00,0.180
319.00,0.178
320.00,0.175
321.00,0.173
322.00,0.171
323.00,0.169
324.00,0.167
325.00,0.164
326.00,0.162
327.00,0.159
328.00,0.156
329.00,0.153
330.00,0.150
331.00,0.147
332.00,0.144
333.00,0.141
334.00,0.138
335.00,0.135
336.00,0.132
337.00,0.129
338.00,0.126
339.00,0.123
340.00,0.121
341.00,0.117
342.00,0.114
343.00,0.111
344.00,0.109
345.00,0.106
346.00,0.103
347.00,0.101
348.00,0.099
349.00,0.096
350.00,0.094
351.00,0.092
352.00,0.090
353.00,0.088
354.00,0.086
355.00,0.085
356.00,0.083
357.00,0.081
358.00,0.079
359.00,0.078
360.00,0.077
361.00,0.075
362.00,0.074
363.00,0.073
364.00,0.072
365.00,0.071
366.00,0.070
367.00,0.069
368.00,0.068
369.00,0.067
370.00,0.066
371.00,0.065
372.00,0.064
373.00,0.064
374.00,0.063
375.00,0.062
376.00,0.061
377.00,0.061
378.00,0.060
379.00,0.059
380.00,0.059
381.00,0.058
382.00,0.058
383.00,0.057
384.00,0.057
385.00,0.056
386.00,0.056
387.00,0.055
388.00,0.055
389.00,0.055
390.00,0.054
391.00,0.054
392.00,0.053
393.00,0.053
394.00,0.053
395.00,0.052
396.00,0.052
397.00,0.052
398.00,0.051
399.00,0.051
400.00,0.051
401.00,0.050
402.00,0.050
403.00,0.050
404.00,0.050
405.00,0.050
406.00,0.049
407.00,0.049
408.00,0.049
409.00,0.049
410.00,0.048
411.00,0.048
412.00,0.048
413.00,0.048
414.00,0.048
415.00,0.048
416.00,0.047
417.00,0.047
418.00,0.047
419.00,0.047
420.00,0.047
421.00,0.047
422.00,0.047
423.00,0.047
424.00,0.047
425.00,0.046
426.00,0.046
427.00,0.046
428.00,0.046
429.00,0.046
430.00,0.046
431.00,0.046
432.00,0.046
433.00,0.046
434.00,0.045
435.00,0.045
436.00,0.045
437.00,0.045
438.00,0.045
439.00,0.045
440.00,0.045
441.00,0.045
442.00,0.045
443.00,0.044
444.00,0.044
445.00,0.044
446.00,0.044
447.00,0.044
448.00,0.044
449.00,0.044
450.00,0.044
451.00,0.044
452.00,0.044
453.00,0.044
454.00,0.044
455.00,0.044
456.00,0.044
457.00,0.043
458.00,0.043
459.00,0.043
460.00,0.043
461.00,0.043
462.00,0.043
463.00,0.043
464.00,0.043
465.00,0.043
466.00,0.043
467.00,0.043
468.00,0.043
469.00,0.043
470.00,0.042
471.00,0.042
472.00,0.042
473.00,0.042
474.00,0.042
475.00,0.042
476.00,0.042
477.00,0.042
478.00,0.042
479.00,0.042
480.00,0.042
481.00,0.042
482.00,0.042
483.00,0.042
484.00,0.042
485.00,0.042
486.00,0.042
487.00,0.041
488.00,0.041
489.00,0.041
490.00,0.041
491.00,0.041
492.00,0.041
493.00,0.041
494.00,0.041
495.00,0.041
496.00,0.041
497.00,0.041
498.00,0.041
499.00,0.041
500.00,0.041
501.00,0.041
502.00,0.041
503.00,0.041
504.00,0.041
505.00,0.041
506.00,0.040
507.00,0.040
508.00,0.040
509.00,0.040
510.00,0.040
511.00,0.040
512.00,0.040
513.00,0.040
514.00,0.040
515.00,0.040
516.00,0.040
517.00,0.040
518.00,0.040
519.00,0.040
520.00,0.040
521.00,0.040
522.00,0.040
523.00,0.040
524.00,0.040
525.00,0.040
526.00,0.040
527.00,0.040
528.00,0.040
529.00,0.040
530.00,0.040
531.00,0.040
532.00,0.040
533.00,0.040
534.00,0.039
535.00,0.039
536.00,0.040
537.00,0.039
538.00,0.039
539.00,0.039
540.00,0.039
541.00,0.039
542.00,0.039
543.00,0.039
544.00,0.039
545.00,0.039
546.00,0.039
547.00,0.039
548.00,0.039
549.00,0.039
550.00,0.039
551.00,0.039
552.00,0.039
553.00,0.039
554.00,0.039
555.00,0.039
556.00,0.039
557.00,0.039
558.00,0.039
559.00,0.039
560.00,0.039
561.00,0.039
562.00,0.039
563.00,0.039
564.00,0.039
565.00,0.039
566.00,0.039
567.00,0.039
568.00,0.039
569.00,0.039
570.00,0.039
571.00,0.039
572.00,0.039
573.00,0.039
574.00,0.039
575.00,0.039
576.00,0.038
577.00,0.038
578.00,0.038
579.00,0.039
580.00,0.039
581.00,0.039
582.00,0.038
583.00,0.038
584.00,0.038
585.00,0.038
586.00,0.038
587.00,0.039
588.00,0.039
589.00,0.039
590.00,0.039
591.00,0.039
592.00,0.039
593.00,0.039
594.00,0.038
595.00,0.039
596.00,0.039
597.00,0.039
598.00,0.039
599.00,0.039
600.00,0.039
601.00,0.039
602.00,0.039
603.00,0.039
604.00,0.039
605.00,0.039
606.00,0.039
607.00,0.039
608.00,0.039
609.00,0.039
610.00,0.039
611.00,0.039
612.00,0.039
613.00,0.039
614.00,0.039
615.00,0.039
616.00,0.039
617.00,0.039
618.00,0.039
619.00,0.039
620.00,0.039
621.00,0.039
622.00,0.039
623.00,0.039
624.00,0.039
625.00,0.039
626.00,0.039
627.00,0.039
628.00,0.039
629.00,0.039
630.00,0.039
631.00,0.039
632.00,0.039
633.00,0.039
634.00,0.039
635.00,0.039
636.00,0.038
637.00,0.038
638.00,0.038
639.00,0.039
640.00,0.039
641.00,0.039
642.00,0.039
643.00,0.039
644.00,0.039
645.00,0.039
646.00,0.039
647.00,0.039
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.039
654.00,0.039
655.00,0.039
656.00,0.039
657.00,0.039
658.00,0.039
659.00,0.039
660.00,0.039
661.00,0.039
662.00,0.039
663.00,0.039
664.00,0.039
665.00,0.039
666.00,0.039
667.00,0.039
668.00,0.039
669.00,0.039
670.00,0.039
671.00,0.039
672.00,0.039
673.00,0.039
674.00,0.039
675.00,0.039
676.00,0.039
677.00,0.039
678.00,0.039
679.00,0.039
680.00,0.039
681.00,0.039
682.00,0.039
683.00,0.039
684.00,0.039
685.00,0.039
686.00,0.039
687.00,0.039
688.00,0.039
689.00,0.039
690.00,0.039
691.00,0.039
692.00,0.039
693.00,0.039
694.00,0.039
695.00,0.039
696.00,0.039
697.00,0.039
698.00,0.039
699.00,0.039
700.00,0.039
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.040
708.00,0.040
709.00,0.040
710.00,0.040
711.00,0.040
712.00,0.040
713.00,0.040
714.00,0.040
715.00,0.040
716.00,0.041
717.00,0.041
718.00,0.041
719.00,0.041
720.00,0.041
721.00,0.042
722.00,0.042
723.00,0.042
724.00,0.042
725.00,0.043
726.00,0.043
727.00,0.043
728.00,0.044
729.00,0.044
730.00,0.044
731.00,0.045
732.00,0.045
733.00,0.046
734.00,0.046
735.00,0.046
736.00,0.047
737.00,0.047
738.00,0.047
739.00,0.047
740.00,0.047
741.00,0.048
742.00,0.048
743.00,0.048
744.00,0.048
745.00,0.048
746.00,0.048
747.00,0.048
748.00,0.048
749.00,0.048
750.00,0.048
751.00,0.048
752.00,0.048
753.00,0.048
754.00,0.048
755.00,0.048
756.00,0.048
757.00,0.048
758.00,0.048
759.00,0.048
760.00,0.048
761.00,0.048
762.00,0.048
763.00,0.048
764.00,0.048
765.00,0.048
766.00,0.048
767.00,0.048
768.00,0.048
769.00,0.048
770.00,0.048
771.00,0.048
772.00,0.048
773.00,0.048
774.00,0.048
775.00,0.047
776.00,0.047
777.00,0.047
778.00,0.047
779.00,0.047
780.00,0.047
781.00,0.047
782.00,0.047
783.00,0.047
784.00,0.047
785.00,0.047
786.00,0.047
787.00,0.046
788.00,0.046
789.00,0.046
790.00,0.046
791.00,0.046
792.00,0.046
793.00,0.046
794.00,0.046
795.00,0.046
796.00,0.046
797.00,0.046
798.00,0.045
799.00,0.045
800.00,0.045
801.00,0.045
802.00,0.045
803.00,0.045
804.00,0.045
805.00,0.045
806.00,0.045
807.00,0.045
808.00,0.045
809.00,0.045
810.00,0.045
811.00,0.045
812.00,0.045
813.00,0.045
814.00,0.045
815.00,0.045
816.00,0.045
817.00,0.045
818.00,0.045
819.00,0.045
820.00,0.046
821.00,0.046
822.00,0.046
823.00,0.046
824.00,0.047
825.00,0.047
826.00,0.047
827.00,0.048
828.00,0.048
829.00,0.049
830.00,0.049
831.00,0.050
832.00,0.050
833.00,0.051
834.00,0.051
835.00,0.051
836.00,0.051
837.00,0.052
838.00,0.052
839.00,0.052
840.00,0.052
841.00,0.052
842.00,0.052
843.00,0.052
844.00,0.053
845.00,0.053
846.00,0.053
847.00,0.053
848.00,0.053
849.00,0.053
850.00,0.053
851.00,0.054
852.00,0.054
853.00,0.054
854.00,0.054
855.00,0.054
856.00,0.054
857.00,0.054
858.00,0.054
859.00,0.055
860.00,0.055
861.00,0.055
862.00,0.055
863.00,0.055
864.00,0.055
865.00,0.055
866.00,0.055
867.00,0.056
868.00,0.056
869.00,0.056
870.00,0.056
871.00,0.056
872.00,0.057
873.00,0.057
874.00,0.057
875.00,0.057
876.00,0.057
877.00,0.058
878.00,0.058
879.00,0.058
880.00,0.058
881.00,0.059
882.00,0.059
883.00,0.059
884.00,0.059
885.00,0.060
886.00,0.060
887.00,0.060
888.00,0.060
889.00,0.061
890.00,0.061
891.00,0.061
892.00,0.061
893.00,0.062
894.00,0.062
895.00,0.062
896.00,0.062
897.00,0.062
898.00,0.063
899.00,0.063
900.00,0.063
