"Moralite50x - RawData"
"Wavelength nm.","Abs."
190.00,3.923
191.00,3.641
192.00,3.821
193.00,3.778
194.00,3.810
195.00,3.855
196.00,3.738
197.00,3.821
198.00,3.706
199.00,3.691
200.00,3.911
201.00,3.898
202.00,3.905
203.00,3.860
204.00,3.955
205.00,3.920
206.00,3.971
207.00,3.974
208.00,3.964
209.00,3.847
210.00,3.946
211.00,3.790
212.00,3.768
213.00,3.573
214.00,3.385
215.00,3.251
216.00,3.109
217.00,2.969
218.00,2.825
219.00,2.694
220.00,2.553
221.00,2.432
222.00,2.311
223.00,2.196
224.00,2.082
225.00,1.967
226.00,1.852
227.00,1.737
228.00,1.628
229.00,1.529
230.00,1.436
231.00,1.355
232.00,1.281
233.00,1.216
234.00,1.160
235.00,1.114
236.00,1.073
237.00,1.040
238.00,1.012
239.00,0.990
240.00,0.972
241.00,0.958
242.00,0.948
243.00,0.941
244.00,0.937
245.00,0.935
246.00,0.934
247.00,0.935
248.00,0.937
249.00,0.941
250.00,0.945
251.00,0.950
252.00,0.957
253.00,0.963
254.00,0.969
255.00,0.975
256.00,0.981
257.00,0.985
258.00,0.988
259.00,0.989
260.00,0.990
261.00,0.991
262.00,0.992
263.00,0.993
264.00,0.993
265.00,0.993
266.00,0.992
267.00,0.990
268.00,0.988
269.00,0.984
270.00,0.977
271.00,0.968
272.00,0.959
273.00,0.948
274.00,0.935
275.00,0.921
276.00,0.905
277.00,0.889
278.00,0.871
279.00,0.852
280.00,0.833
281.00,0.812
282.00,0.790
283.00,0.765
284.00,0.739
285.00,0.713
286.00,0.688
287.00,0.663
288.00,0.638
289.00,0.612
290.00,0.584
291.00,0.557
292.00,0.534
293.00,0.514
294.00,0.498
295.00,0.483
296.00,0.471
297.00,0.459
298.00,0.449
299.00,0.440
300.00,0.432
301.00,0.425
302.00,0.418
303.00,0.412
304.00,0.406
305.00,0.401
306.00,0.396
307.00,0.391
308.00,0.387
309.00,0.383
310.00,0.378
311.00,0.374
312.00,0.370
313.00,0.367
314.00,0.364
315.00,0.360
316.00,0.356
317.00,0.352
318.00,0.348
319.00,0.344
320.00,0.340
321.00,0.335
322.00,0.331
323.00,0.326
324.00,0.321
325.00,0.316
326.00,0.311
327.00,0.306
328.00,0.300
329.00,0.294
330.00,0.289
331.00,0.283
332.00,0.277
333.00,0.271
334.00,0.265
335.00,0.259
336.00,0.254
337.00,0.248
338.00,0.242
339.00,0.236
340.00,0.230
341.00,0.224
342.00,0.218
343.00,0.212
344.00,0.206
345.00,0.201
346.00,0.195
347.00,0.191
348.00,0.185
349.00,0.180
350.00,0.176
351.00,0.171
352.00,0.166
353.00,0.162
354.00,0.158
355.00,0.154
356.00,0.151
357.00,0.147
358.00,0.143
359.00,0.140
360.00,0.137
361.00,0.134
362.00,0.130
363.00,0.128
364.00,0.125
365.00,0.122
366.00,0.120
367.00,0.117
368.00,0.115
369.00,0.113
370.00,0.111
371.00,0.109
372.00,0.106
373.00,0.105
374.00,0.103
375.00,0.100
376.00,0.099
377.00,0.097
378.00,0.095
379.00,0.093
380.00,0.091
381.00,0.090
382.00,0.088
383.00,0.087
384.00,0.085
385.00,0.084
386.00,0.082
387.00,0.081
388.00,0.080
389.00,0.078
390.00,0.077
391.00,0.076
392.00,0.075
393.00,0.073
394.00,0.072
395.00,0.071
396.00,0.070
397.00,0.069
398.00,0.068
399.00,0.068
400.00,0.067
401.00,0.066
402.00,0.065
403.00,0.064
404.00,0.064
405.00,0.063
406.00,0.062
407.00,0.062
408.00,0.061
409.00,0.060
410.00,0.060
411.00,0.059
412.00,0.059
413.00,0.058
414.00,0.058
415.00,0.057
416.00,0.057
417.00,0.057
418.00,0.056
419.00,0.056
420.00,0.056
421.00,0.055
422.00,0.055
423.00,0.055
424.00,0.054
425.00,0.054
426.00,0.054
427.00,0.053
428.00,0.053
429.00,0.053
430.00,0.053
431.00,0.053
432.00,0.052
433.00,0.052
434.00,0.052
435.00,0.052
436.00,0.051
437.00,0.051
438.00,0.051
439.00,0.051
440.00,0.051
441.00,0.050
442.00,0.050
443.00,0.050
444.00,0.050
445.00,0.050
446.00,0.050
447.00,0.049
448.00,0.049
449.00,0.049
450.00,0.049
451.00,0.049
452.00,0.049
453.00,0.049
454.00,0.048
455.00,0.048
456.00,0.048
457.00,0.048
458.00,0.048
459.00,0.048
460.00,0.048
461.00,0.048
462.00,0.047
463.00,0.047
464.00,0.047
465.00,0.047
466.00,0.047
467.00,0.047
468.00,0.047
469.00,0.047
470.00,0.046
471.00,0.046
472.00,0.046
473.00,0.046
474.00,0.046
475.00,0.046
476.00,0.046
477.00,0.046
478.00,0.046
479.00,0.045
480.00,0.045
481.00,0.045
482.00,0.045
483.00,0.045
484.00,0.045
485.00,0.045
486.00,0.045
487.00,0.044
488.00,0.044
489.00,0.044
490.00,0.044
491.00,0.044
492.00,0.044
493.00,0.044
494.00,0.044
495.00,0.044
496.00,0.044
497.00,0.044
498.00,0.044
499.00,0.043
500.00,0.043
501.00,0.043
502.00,0.043
503.00,0.043
504.00,0.043
505.00,0.043
506.00,0.043
507.00,0.043
508.00,0.043
509.00,0.043
510.00,0.042
511.00,0.042
512.00,0.042
513.00,0.042
514.00,0.042
515.00,0.042
516.00,0.042
517.00,0.042
