"Interdite60 - RawData"
"Wavelength nm.","Abs."
190.00,3.291
191.00,3.522
192.00,3.370
193.00,3.645
194.00,3.499
195.00,3.367
196.00,3.638
197.00,3.811
198.00,3.672
199.00,3.838
200.00,3.650
201.00,3.645
202.00,3.858
203.00,3.822
204.00,3.741
205.00,3.831
206.00,3.759
207.00,3.644
208.00,3.707
209.00,3.529
210.00,3.544
211.00,3.378
212.00,3.201
213.00,3.060
214.00,2.968
215.00,2.817
216.00,2.687
217.00,2.563
218.00,2.433
219.00,2.315
220.00,2.196
221.00,2.090
222.00,1.985
223.00,1.883
224.00,1.782
225.00,1.685
226.00,1.589
227.00,1.493
228.00,1.399
229.00,1.314
230.00,1.236
231.00,1.165
232.00,1.103
233.00,1.048
234.00,1.002
235.00,0.962
236.00,0.928
237.00,0.901
238.00,0.878
239.00,0.861
240.00,0.847
241.00,0.836
242.00,0.830
243.00,0.825
244.00,0.823
245.00,0.823
246.00,0.824
247.00,0.826
248.00,0.829
249.00,0.833
250.00,0.838
251.00,0.843
252.00,0.849
253.00,0.855
254.00,0.860
255.00,0.866
256.00,0.871
257.00,0.875
258.00,0.877
259.00,0.878
260.00,0.879
261.00,0.879
262.00,0.879
263.00,0.880
264.00,0.879
265.00,0.877
266.00,0.875
267.00,0.873
268.00,0.869
269.00,0.864
270.00,0.857
271.00,0.848
272.00,0.838
273.00,0.826
274.00,0.813
275.00,0.799
276.00,0.785
277.00,0.769
278.00,0.752
279.00,0.734
280.00,0.715
281.00,0.696
282.00,0.676
283.00,0.655
284.00,0.633
285.00,0.609
286.00,0.587
287.00,0.566
288.00,0.543
289.00,0.522
290.00,0.500
291.00,0.478
292.00,0.460
293.00,0.443
294.00,0.429
295.00,0.416
296.00,0.406
297.00,0.396
298.00,0.387
299.00,0.379
300.00,0.372
301.00,0.366
302.00,0.360
303.00,0.354
304.00,0.350
305.00,0.345
306.00,0.341
307.00,0.336
308.00,0.333
309.00,0.329
310.00,0.325
311.00,0.322
312.00,0.318
313.00,0.315
314.00,0.312
315.00,0.309
316.00,0.305
317.00,0.302
318.00,0.298
319.00,0.295
320.00,0.291
321.00,0.287
322.00,0.283
323.00,0.279
324.00,0.275
325.00,0.270
326.00,0.266
327.00,0.261
328.00,0.256
329.00,0.251
330.00,0.247
331.00,0.242
332.00,0.236
333.00,0.231
334.00,0.226
335.00,0.221
336.00,0.216
337.00,0.211
338.00,0.206
339.00,0.201
340.00,0.197
341.00,0.190
342.00,0.185
343.00,0.181
344.00,0.176
345.00,0.172
346.00,0.167
347.00,0.163
348.00,0.159
349.00,0.155
350.00,0.151
351.00,0.147
352.00,0.144
353.00,0.141
354.00,0.137
355.00,0.134
356.00,0.131
357.00,0.128
358.00,0.125
359.00,0.122
360.00,0.119
361.00,0.117
362.00,0.114
363.00,0.112
364.00,0.110
365.00,0.108
366.00,0.106
367.00,0.104
368.00,0.102
369.00,0.100
370.00,0.098
371.00,0.096
372.00,0.095
373.00,0.093
374.00,0.091
375.00,0.090
376.00,0.088
377.00,0.086
378.00,0.085
379.00,0.083
380.00,0.082
381.00,0.081
382.00,0.079
383.00,0.078
384.00,0.077
385.00,0.075
386.00,0.074
387.00,0.073
388.00,0.072
389.00,0.071
390.00,0.070
391.00,0.069
392.00,0.068
393.00,0.067
394.00,0.066
395.00,0.065
396.00,0.064
397.00,0.064
398.00,0.063
399.00,0.062
400.00,0.061
401.00,0.061
402.00,0.060
403.00,0.060
404.00,0.059
405.00,0.058
406.00,0.058
407.00,0.057
408.00,0.057
409.00,0.056
410.00,0.056
411.00,0.055
412.00,0.055
413.00,0.055
414.00,0.054
415.00,0.054
416.00,0.053
417.00,0.053
418.00,0.053
419.00,0.053
420.00,0.052
421.00,0.052
422.00,0.052
423.00,0.052
424.00,0.051
425.00,0.051
426.00,0.051
427.00,0.051
428.00,0.050
429.00,0.050
430.00,0.050
431.00,0.050
432.00,0.050
433.00,0.049
434.00,0.049
435.00,0.049
436.00,0.049
437.00,0.049
438.00,0.049
439.00,0.048
440.00,0.048
441.00,0.048
442.00,0.048
443.00,0.048
444.00,0.048
445.00,0.048
446.00,0.047
447.00,0.047
448.00,0.047
449.00,0.047
450.00,0.047
451.00,0.047
452.00,0.047
453.00,0.047
454.00,0.046
455.00,0.046
456.00,0.046
457.00,0.046
458.00,0.046
459.00,0.046
460.00,0.046
461.00,0.046
462.00,0.046
463.00,0.045
464.00,0.045
465.00,0.045
466.00,0.045
467.00,0.045
468.00,0.045
469.00,0.045
470.00,0.045
471.00,0.045
472.00,0.045
473.00,0.044
474.00,0.044
475.00,0.044
476.00,0.044
477.00,0.044
478.00,0.044
479.00,0.044
480.00,0.044
481.00,0.044
482.00,0.044
483.00,0.043
484.00,0.043
485.00,0.043
486.00,0.043
487.00,0.043
488.00,0.043
489.00,0.043
490.00,0.043
491.00,0.043
492.00,0.043
493.00,0.043
494.00,0.042
495.00,0.042
496.00,0.042
497.00,0.042
498.00,0.042
499.00,0.042
500.00,0.042
501.00,0.042
502.00,0.042
503.00,0.042
504.00,0.042
505.00,0.042
506.00,0.041
507.00,0.041
508.00,0.041
509.00,0.041
510.00,0.041
511.00,0.041
512.00,0.041
513.00,0.041
514.00,0.041
515.00,0.041
516.00,0.041
517.00,0.041
518.00,0.041
519.00,0.041
520.00,0.041
521.00,0.040
522.00,0.040
523.00,0.040
524.00,0.040
525.00,0.040
526.00,0.040
527.00,0.040
528.00,0.040
529.00,0.040
530.00,0.040
531.00,0.040
532.00,0.040
533.00,0.040
534.00,0.040
535.00,0.040
536.00,0.040
537.00,0.040
538.00,0.039
539.00,0.039
540.00,0.039
541.00,0.039
542.00,0.039
543.00,0.039
544.00,0.039
545.00,0.039
546.00,0.039
547.00,0.039
548.00,0.039
549.00,0.039
550.00,0.039
551.00,0.039
552.00,0.039
553.00,0.039
554.00,0.039
555.00,0.038
556.00,0.038
557.00,0.038
558.00,0.038
559.00,0.038
560.00,0.038
561.00,0.038
562.00,0.038
563.00,0.038
564.00,0.038
565.00,0.038
566.00,0.038
567.00,0.038
568.00,0.038
569.00,0.038
570.00,0.038
571.00,0.038
572.00,0.038
573.00,0.038
574.00,0.038
575.00,0.038
576.00,0.038
577.00,0.038
578.00,0.038
579.00,0.038
580.00,0.038
581.00,0.038
582.00,0.038
583.00,0.038
584.00,0.038
585.00,0.038
586.00,0.038
587.00,0.038
588.00,0.037
589.00,0.037
590.00,0.037
591.00,0.037
592.00,0.037
593.00,0.037
594.00,0.037
595.00,0.037
596.00,0.037
597.00,0.037
598.00,0.038
599.00,0.038
600.00,0.037
601.00,0.038
602.00,0.037
603.00,0.037
604.00,0.038
605.00,0.037
606.00,0.038
607.00,0.037
608.00,0.037
609.00,0.037
610.00,0.037
611.00,0.037
612.00,0.037
613.00,0.037
614.00,0.037
615.00,0.037
616.00,0.037
617.00,0.037
618.00,0.037
619.00,0.037
620.00,0.037
621.00,0.037
622.00,0.037
623.00,0.037
624.00,0.037
625.00,0.037
626.00,0.037
627.00,0.037
628.00,0.037
629.00,0.037
630.00,0.037
631.00,0.037
632.00,0.037
633.00,0.037
634.00,0.037
635.00,0.037
636.00,0.037
637.00,0.037
638.00,0.037
639.00,0.037
640.00,0.037
641.00,0.037
642.00,0.037
643.00,0.037
644.00,0.036
645.00,0.037
646.00,0.037
647.00,0.037
648.00,0.037
649.00,0.037
650.00,0.037
651.00,0.037
652.00,0.036
653.00,0.037
654.00,0.037
655.00,0.037
656.00,0.037
657.00,0.037
658.00,0.037
659.00,0.037
660.00,0.037
661.00,0.037
662.00,0.037
663.00,0.037
664.00,0.037
665.00,0.037
666.00,0.037
667.00,0.037
668.00,0.036
669.00,0.037
670.00,0.037
671.00,0.036
672.00,0.036
673.00,0.037
674.00,0.036
675.00,0.036
676.00,0.036
677.00,0.036
678.00,0.036
679.00,0.036
680.00,0.036
681.00,0.036
682.00,0.036
683.00,0.036
684.00,0.036
685.00,0.036
686.00,0.036
687.00,0.036
688.00,0.036
689.00,0.036
690.00,0.036
691.00,0.036
692.00,0.037
693.00,0.037
694.00,0.037
695.00,0.037
696.00,0.037
697.00,0.037
698.00,0.037
699.00,0.037
700.00,0.037
701.00,0.037
702.00,0.037
703.00,0.037
704.00,0.037
705.00,0.037
706.00,0.037
707.00,0.037
708.00,0.037
709.00,0.037
710.00,0.038
711.00,0.038
712.00,0.038
713.00,0.038
714.00,0.038
715.00,0.038
716.00,0.038
717.00,0.039
718.00,0.039
719.00,0.039
720.00,0.039
721.00,0.039
722.00,0.040
723.00,0.040
724.00,0.040
725.00,0.040
726.00,0.041
727.00,0.041
728.00,0.041
729.00,0.042
730.00,0.042
731.00,0.043
732.00,0.043
733.00,0.044
734.00,0.044
735.00,0.044
736.00,0.045
737.00,0.045
738.00,0.045
739.00,0.045
740.00,0.045
741.00,0.045
742.00,0.045
743.00,0.045
744.00,0.045
745.00,0.045
746.00,0.045
747.00,0.045
748.00,0.045
749.00,0.045
750.00,0.045
751.00,0.045
752.00,0.045
753.00,0.045
754.00,0.045
755.00,0.045
756.00,0.045
757.00,0.045
758.00,0.045
759.00,0.045
760.00,0.046
761.00,0.045
762.00,0.045
763.00,0.045
764.00,0.045
765.00,0.045
766.00,0.045
767.00,0.045
768.00,0.045
769.00,0.045
770.00,0.045
771.00,0.045
772.00,0.045
773.00,0.045
774.00,0.045
775.00,0.045
776.00,0.045
777.00,0.044
778.00,0.044
779.00,0.044
780.00,0.044
781.00,0.044
782.00,0.044
783.00,0.044
784.00,0.044
785.00,0.044
786.00,0.044
787.00,0.044
788.00,0.043
789.00,0.043
790.00,0.043
791.00,0.043
792.00,0.043
793.00,0.043
794.00,0.043
795.00,0.043
796.00,0.043
797.00,0.043
798.00,0.042
799.00,0.042
800.00,0.042
801.00,0.042
802.00,0.042
803.00,0.042
804.00,0.042
805.00,0.042
806.00,0.042
807.00,0.042
808.00,0.042
809.00,0.042
810.00,0.042
811.00,0.042
812.00,0.042
813.00,0.042
814.00,0.042
815.00,0.042
816.00,0.042
817.00,0.042
818.00,0.042
819.00,0.042
820.00,0.043
821.00,0.043
822.00,0.043
823.00,0.043
824.00,0.044
825.00,0.044
826.00,0.044
827.00,0.045
828.00,0.045
829.00,0.046
830.00,0.047
