"Grosse-ile50x - RawData"
"Wavelength nm.","Abs."
190.00,3.219
191.00,3.874
192.00,3.949
193.00,3.772
194.00,3.846
195.00,3.775
196.00,3.878
197.00,3.966
198.00,3.827
199.00,3.810
200.00,3.927
201.00,3.897
202.00,3.912
203.00,3.990
204.00,3.969
205.00,3.884
206.00,3.899
207.00,3.901
208.00,3.734
209.00,3.762
210.00,3.711
211.00,3.389
212.00,3.254
213.00,3.179
214.00,3.001
215.00,2.927
216.00,2.797
217.00,2.685
218.00,2.554
219.00,2.422
220.00,2.321
221.00,2.216
222.00,2.116
223.00,2.016
224.00,1.917
225.00,1.821
226.00,1.722
227.00,1.623
228.00,1.528
229.00,1.442
230.00,1.360
231.00,1.287
232.00,1.220
233.00,1.161
234.00,1.109
235.00,1.063
236.00,1.024
237.00,0.991
238.00,0.964
239.00,0.940
240.00,0.921
241.00,0.906
242.00,0.897
243.00,0.891
244.00,0.888
245.00,0.888
246.00,0.889
247.00,0.891
248.00,0.895
249.00,0.900
250.00,0.906
251.00,0.912
252.00,0.919
253.00,0.926
254.00,0.934
255.00,0.941
256.00,0.948
257.00,0.954
258.00,0.958
259.00,0.961
260.00,0.964
261.00,0.967
262.00,0.970
263.00,0.973
264.00,0.976
265.00,0.977
266.00,0.978
267.00,0.979
268.00,0.978
269.00,0.975
270.00,0.972
271.00,0.967
272.00,0.961
273.00,0.954
274.00,0.947
275.00,0.937
276.00,0.927
277.00,0.915
278.00,0.901
279.00,0.886
280.00,0.871
281.00,0.855
282.00,0.838
283.00,0.819
284.00,0.799
285.00,0.778
286.00,0.758
287.00,0.738
288.00,0.718
289.00,0.697
290.00,0.674
291.00,0.652
292.00,0.633
293.00,0.615
294.00,0.601
295.00,0.586
296.00,0.574
297.00,0.562
298.00,0.551
299.00,0.541
300.00,0.531
301.00,0.522
302.00,0.514
303.00,0.505
304.00,0.498
305.00,0.491
306.00,0.483
307.00,0.476
308.00,0.469
309.00,0.463
310.00,0.456
311.00,0.450
312.00,0.444
313.00,0.438
314.00,0.432
315.00,0.426
316.00,0.421
317.00,0.415
318.00,0.409
319.00,0.404
320.00,0.397
321.00,0.391
322.00,0.384
323.00,0.378
324.00,0.372
325.00,0.365
326.00,0.358
327.00,0.351
328.00,0.344
329.00,0.337
330.00,0.330
331.00,0.322
332.00,0.315
333.00,0.308
334.00,0.301
335.00,0.294
336.00,0.287
337.00,0.280
338.00,0.273
339.00,0.267
340.00,0.261
341.00,0.253
342.00,0.246
343.00,0.240
344.00,0.234
345.00,0.229
346.00,0.223
347.00,0.218
348.00,0.213
349.00,0.207
350.00,0.203
351.00,0.198
352.00,0.193
