"VinDorgeStHoublon100x - RawData"
"Wavelength nm.","Abs."
190.00,4.000
191.00,4.000
192.00,4.000
193.00,4.000
194.00,4.000
195.00,4.000
196.00,4.000
197.00,4.000
198.00,4.000
199.00,4.000
200.00,4.000
201.00,4.000
202.00,3.999
203.00,3.944
204.00,3.897
205.00,3.719
206.00,3.424
207.00,3.128
208.00,3.000
209.00,2.860
210.00,2.707
211.00,2.595
212.00,2.476
213.00,2.356
214.00,2.248
215.00,2.145
216.00,2.045
217.00,1.948
218.00,1.858
219.00,1.765
220.00,1.679
221.00,1.603
222.00,1.529
223.00,1.457
224.00,1.384
225.00,1.316
226.00,1.247
227.00,1.178
228.00,1.111
229.00,1.050
230.00,0.992
231.00,0.941
232.00,0.895
233.00,0.854
234.00,0.820
235.00,0.790
236.00,0.765
237.00,0.744
238.00,0.727
239.00,0.714
240.00,0.703
241.00,0.695
242.00,0.691
243.00,0.688
244.00,0.688
245.00,0.689
246.00,0.691
247.00,0.694
248.00,0.698
249.00,0.703
250.00,0.708
251.00,0.713
252.00,0.719
253.00,0.724
254.00,0.730
255.00,0.735
256.00,0.740
257.00,0.744
258.00,0.747
259.00,0.748
260.00,0.749
261.00,0.750
262.00,0.751
263.00,0.751
264.00,0.751
265.00,0.751
266.00,0.749
267.00,0.747
268.00,0.744
269.00,0.740
270.00,0.734
271.00,0.728
272.00,0.721
273.00,0.713
274.00,0.705
275.00,0.696
276.00,0.687
277.00,0.677
278.00,0.666
279.00,0.654
280.00,0.643
281.00,0.632
282.00,0.620
283.00,0.608
284.00,0.595
285.00,0.581
286.00,0.569
287.00,0.556
288.00,0.543
289.00,0.530
290.00,0.516
291.00,0.502
292.00,0.490
293.00,0.479
294.00,0.470
295.00,0.461
296.00,0.453
297.00,0.446
298.00,0.439
299.00,0.433
300.00,0.426
301.00,0.420
302.00,0.415
303.00,0.410
304.00,0.404
305.00,0.399
306.00,0.394
307.00,0.388
308.00,0.383
309.00,0.378
310.00,0.373
311.00,0.368
312.00,0.363
313.00,0.358
314.00,0.353
315.00,0.348
316.00,0.344
317.00,0.339
318.00,0.334
319.00,0.328
320.00,0.323
321.00,0.318
322.00,0.312
323.00,0.307
324.00,0.301
325.00,0.295
326.00,0.289
327.00,0.284
328.00,0.277
329.00,0.271
330.00,0.265
331.00,0.259
332.00,0.253
333.00,0.247
334.00,0.240
335.00,0.234
336.00,0.229
337.00,0.223
338.00,0.217
339.00,0.212
340.00,0.207
341.00,0.200
342.00,0.195
343.00,0.189
344.00,0.185
345.00,0.180
346.00,0.175
347.00,0.171
348.00,0.166
349.00,0.162
350.00,0.158
351.00,0.154
352.00,0.150
353.00,0.147
354.00,0.143
355.00,0.140
356.00,0.137
357.00,0.133
358.00,0.130
359.00,0.127
360.00,0.125
361.00,0.122
362.00,0.119
363.00,0.117
364.00,0.115
365.00,0.113
366.00,0.111
367.00,0.109
368.00,0.107
369.00,0.105
370.00,0.103
371.00,0.101
372.00,0.099
373.00,0.098
374.00,0.096
375.00,0.094
376.00,0.093
377.00,0.091
378.00,0.089
379.00,0.088
380.00,0.086
381.00,0.085
382.00,0.084
383.00,0.082
384.00,0.081
385.00,0.080
386.00,0.079
387.00,0.078
388.00,0.077
389.00,0.076
390.00,0.075
391.00,0.074
392.00,0.073
393.00,0.072
394.00,0.071
395.00,0.070
396.00,0.069
397.00,0.069
398.00,0.068
399.00,0.067
400.00,0.066
401.00,0.066
402.00,0.065
403.00,0.064
404.00,0.064
405.00,0.063
406.00,0.063
407.00,0.062
408.00,0.062
409.00,0.061
410.00,0.061
411.00,0.060
412.00,0.060
413.00,0.059
414.00,0.059
415.00,0.058
416.00,0.058
417.00,0.058
418.00,0.057
419.00,0.057
420.00,0.056
421.00,0.056
422.00,0.056
423.00,0.055
424.00,0.055
425.00,0.055
426.00,0.054
427.00,0.054
428.00,0.054
429.00,0.054
430.00,0.053
431.00,0.053
432.00,0.053
433.00,0.052
434.00,0.052
435.00,0.052
436.00,0.052
437.00,0.051
438.00,0.051
439.00,0.051
440.00,0.051
441.00,0.051
442.00,0.050
443.00,0.050
444.00,0.050
445.00,0.050
446.00,0.049
447.00,0.049
448.00,0.049
449.00,0.049
450.00,0.049
451.00,0.048
452.00,0.048
