"HefeweizenStHoublon100x - RawData"
"Wavelength nm.","Abs."
190.00,3.967
191.00,3.999
192.00,3.911
193.00,3.964
194.00,3.972
195.00,3.930
196.00,3.807
197.00,3.683
198.00,3.467
199.00,3.358
200.00,3.119
201.00,2.926
202.00,2.737
203.00,2.572
204.00,2.417
205.00,2.280
206.00,2.145
207.00,2.034
208.00,1.924
209.00,1.824
210.00,1.733
211.00,1.650
212.00,1.567
213.00,1.490
214.00,1.417
215.00,1.348
216.00,1.282
217.00,1.219
218.00,1.156
219.00,1.095
220.00,1.035
221.00,0.980
222.00,0.927
223.00,0.876
224.00,0.824
225.00,0.775
226.00,0.726
227.00,0.676
228.00,0.629
229.00,0.586
230.00,0.545
231.00,0.509
232.00,0.477
233.00,0.450
234.00,0.426
235.00,0.407
236.00,0.391
237.00,0.379
238.00,0.369
239.00,0.362
240.00,0.357
241.00,0.354
242.00,0.352
243.00,0.352
244.00,0.353
245.00,0.355
246.00,0.357
247.00,0.361
248.00,0.364
249.00,0.367
250.00,0.371
251.00,0.375
252.00,0.378
253.00,0.382
254.00,0.385
255.00,0.388
256.00,0.391
257.00,0.393
258.00,0.395
259.00,0.396
260.00,0.397
261.00,0.397
262.00,0.397
263.00,0.397
264.00,0.397
265.00,0.397
266.00,0.395
267.00,0.394
268.00,0.391
269.00,0.389
270.00,0.385
271.00,0.381
272.00,0.377
273.00,0.372
274.00,0.367
275.00,0.362
276.00,0.356
277.00,0.349
278.00,0.343
279.00,0.336
280.00,0.329
281.00,0.322
282.00,0.314
283.00,0.306
284.00,0.298
285.00,0.289
286.00,0.281
287.00,0.274
288.00,0.266
289.00,0.259
290.00,0.251
291.00,0.243
292.00,0.236
293.00,0.229
294.00,0.224
295.00,0.219
296.00,0.215
297.00,0.211
298.00,0.207
299.00,0.203
300.00,0.199
301.00,0.196
302.00,0.193
303.00,0.191
304.00,0.188
305.00,0.185
306.00,0.183
307.00,0.180
308.00,0.178
309.00,0.176
310.00,0.173
311.00,0.171
312.00,0.169
313.00,0.167
314.00,0.165
315.00,0.163
316.00,0.161
317.00,0.159
318.00,0.157
319.00,0.155
320.00,0.153
321.00,0.151
322.00,0.148
323.00,0.146
324.00,0.144
325.00,0.142
326.00,0.140
327.00,0.138
328.00,0.135
329.00,0.133
330.00,0.131
331.00,0.129
332.00,0.127
333.00,0.124
334.00,0.122
335.00,0.120
336.00,0.118
337.00,0.116
338.00,0.114
339.00,0.112
340.00,0.110
341.00,0.108
342.00,0.106
343.00,0.103
344.00,0.101
345.00,0.100
346.00,0.098
347.00,0.097
348.00,0.094
349.00,0.092
350.00,0.091
351.00,0.090
352.00,0.088
353.00,0.086
354.00,0.085
355.00,0.083
356.00,0.082
357.00,0.080
358.00,0.079
359.00,0.078
360.00,0.077
361.00,0.076
362.00,0.074
363.00,0.074
364.00,0.073
365.00,0.072
366.00,0.071
367.00,0.070
368.00,0.069
369.00,0.068
370.00,0.067
371.00,0.067
372.00,0.066
373.00,0.065
374.00,0.064
375.00,0.064
376.00,0.063
377.00,0.062
378.00,0.061
379.00,0.061
380.00,0.060
381.00,0.060
382.00,0.059
383.00,0.059
384.00,0.058
385.00,0.057
386.00,0.057
387.00,0.057
388.00,0.056
389.00,0.056
390.00,0.055
391.00,0.055
392.00,0.055
393.00,0.054
394.00,0.054
395.00,0.054
396.00,0.053
397.00,0.053
398.00,0.053
399.00,0.052
400.00,0.052
401.00,0.052
402.00,0.052
403.00,0.051
404.00,0.051
405.00,0.051
406.00,0.051
407.00,0.051
408.00,0.050
409.00,0.050
410.00,0.050
411.00,0.050
412.00,0.049
413.00,0.049
414.00,0.049
415.00,0.049
416.00,0.049
417.00,0.048
418.00,0.048
419.00,0.048
420.00,0.048
421.00,0.048
422.00,0.048
423.00,0.048
424.00,0.047
425.00,0.047
426.00,0.047
427.00,0.047
428.00,0.047
429.00,0.047
430.00,0.047
431.00,0.046
432.00,0.046
433.00,0.046
434.00,0.046
435.00,0.046
436.00,0.046
437.00,0.046
438.00,0.046
439.00,0.045
440.00,0.045
441.00,0.045
442.00,0.045
443.00,0.045
444.00,0.045
445.00,0.045
446.00,0.045
447.00,0.045
448.00,0.045
449.00,0.045
450.00,0.044
451.00,0.044
452.00,0.044
453.00,0.044
454.00,0.044
455.00,0.044
456.00,0.044
457.00,0.044
458.00,0.044
459.00,0.044
460.00,0.043
461.00,0.043
462.00,0.043
463.00,0.043
464.00,0.043
465.00,0.043
466.00,0.043
467.00,0.043
468.00,0.043
469.00,0.043
470.00,0.043
471.00,0.043
472.00,0.043
473.00,0.042
474.00,0.042
475.00,0.042
476.00,0.042
477.00,0.042
478.00,0.042
479.00,0.042
480.00,0.042
481.00,0.042
482.00,0.042
483.00,0.042
484.00,0.042
485.00,0.041
486.00,0.041
487.00,0.041
488.00,0.041
489.00,0.041
490.00,0.041
491.00,0.041
492.00,0.041
493.00,0.041
494.00,0.041
495.00,0.041
496.00,0.041
497.00,0.041
498.00,0.041
499.00,0.041
500.00,0.040
501.00,0.040
502.00,0.040
503.00,0.040
504.00,0.040
505.00,0.040
506.00,0.040
507.00,0.040
508.00,0.040
509.00,0.040
510.00,0.040
511.00,0.040
512.00,0.040
513.00,0.040
514.00,0.040
515.00,0.040
516.00,0.040
517.00,0.040
518.00,0.040
519.00,0.040
520.00,0.040
521.00,0.040
522.00,0.039
523.00,0.039
524.00,0.039
525.00,0.039
526.00,0.039
527.00,0.039
528.00,0.039
529.00,0.039
530.00,0.039
531.00,0.039
532.00,0.039
533.00,0.039
534.00,0.039
535.00,0.039
536.00,0.039
537.00,0.039
538.00,0.039
539.00,0.039
540.00,0.039
541.00,0.039
542.00,0.039
543.00,0.039
544.00,0.039
545.00,0.039
546.00,0.039
547.00,0.039
548.00,0.039
549.00,0.039
550.00,0.039
551.00,0.039
552.00,0.038
553.00,0.038
554.00,0.038
555.00,0.038
556.00,0.038
557.00,0.038
