"1","Target","Source","Distance"
"1","AlchimistRousse50x","01.AlchimistRousse50x.txt","7"
"1","BunkerIPA50x","02.BunkerIPA50x.txt","7"
"1","LTMGose50x","03.LTMGose50x.txt","7"
"1","BlancheBelgeMolson50x","04.BlancheBelgeMolson50x.txt","7"
"1","DeathValley50x","05.DeathValley50x.txt","7"
"1","BerlinerWeiss50x","06.BerlinerWeiss50x.txt","7"
"1","Exploite100x","11.Exploite100x.txt","7"
"1","StViateur100x","12.StViateur100x.txt","7"
"1","Penombre100x","13.Penombre100x.txt","7"
"1","Lochness100BIS","09.Lochness100x.txt","11"
"1","BlondeAchouffe100x","15.BlondeAchouffe.txt","9"
"1","BruneAchouffe100x","16.BruneAchouffe.txt","9"
"1","Moralite50x","17.Moralite50x.txt","7"
"1","Ublonde50x","18.UBlonde50x.txt","9"
"1","Interdite6050x","19.Interdite6050x.txt","7"
"1","VieuxMontrealRousse50x","20.VieuxMontrealRousse50x.txt","7"
"1","ChalevoixIPA50x","21.ChalevoixIPA50x.txt","7"
"1","GrosseIle50x","22.GrosseIle50x.txt","7"
"1","VinOrgeStHoublon100x","23.VinOrgeStHoublon100x.txt","7"
"1","IPABelgeStHoublon50x","24.IPABelgeStHoublon50x.txt","7"
"1","HefeweizenStHoublon100x","25.HefeweizenStHoublon100x.txt","7"
"1","CoupGrisou100x","07.CoupGrisou100x.txt","7"
"1","Canon100x","08.Canon100x.txt","7"
"1","Lochness100x","09.Lochness100x.txt","7"
"1","ChevalBlancDouble100x","10.ChevalBlancDouble100x.txt","7"
